longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.16,38.57,32,659,117.7,719,80,2.2184,117590
-122.0,37.5,32,5089,819.6,1881,726,11.2464,500001
-117.73,33.9,36,4251,685.8,2764,604,3.0605,170068
-122.37,38.43,18,2175,231.7,405,180,12.896,395306
-118.5,36.69,15,3006,492.8,874,409,5.6685,270160
-118.53,37.91,27,3265,1149.9,1495,780,3.0467,104255
-118.46,37.27,37,4622,1400.6,3982,1184,2.618,150294
-122.31,39.28,37,1769,338.5,621,305,3.8339,134416
-117.35,33.01,6,7092,1200.1,2999,954,3.1321,238889
-121.79,38.46,36,1469,241.2,520,178,6.9035,250195
-117.36,32.97,34,4098,764.5,2887,683,2.5222,167553
-120.93,37.58,6,5028,2003.6,3337,1653,2.2585,63954
-118.2,33.79,28,4860,796.6,2648,882,6.1452,228071
-120.68,38.05,4,2797,478.3,1336,468,6.5386,173124
-117.91,33.99,33,1436,248.8,505,197,4.4954,251996
-118.26,34.01,52,3302,628.8,1364,579,6.1912,458557
-118.11,33.97,35,4613,878.9,2346,842,4.4192,146882
-122.62,38.51,37,2654,464.9,1812,476,4.2622,216823
-118.37,35.45,36,1086,334.7,566,292,1.906,81702
-118.93,34.12,33,2602,724.0,1828,636,2.2368,163264
-118.4,37.45,43,1280,245.3,189,169,2.3796,104534
-118.22,34.09,27,2405,476.7,1368,332,2.8265,110927
-120.75,36.51,40,1308,444.4,1206,423,1.6243,116865
-122.04,37.77,35,2671,603.0,1385,478,2.3505,240088
-117.84,33.94,16,2546,400.3,1022,360,4.3669,238756
-122.36,37.93,15,1420,295.0,453,277,4.1612,264518
-118.26,34.03,43,1547,373.9,932,363,3.2539,229056
-122.08,38.04,24,3129,385.3,800,361,14.6117,500001
-121.78,34.22,45,1722,407.6,1085,397,10.0694,500001
-119.42,34.8,21,4208,746.9,2359,757,6.326,339453
-122.24,37.57,52,1051,145.2,363,176,3.2813,172900
-121.75,35.2,17,1177,218.7,569,183,2.5183,224733
-122.31,38.52,15,3781,899.5,1574,622,3.8683,368983
-118.2,34.08,39,2719,465.8,1099,450,4.184,348875
-121.82,37.9,32,1812,474.3,1355,412,2.6518,212335
-119.27,34.31,19,2432,561.2,1134,437,2.8513,93386
-118.13,33.95,8,2603,496.8,1555,466,7.8704,270581
-118.82,34.3,25,2438,545.8,2005,468,2.2692,90528
-117.8,33.8,7,3434,676.0,1902,566,7.319,260941
-119.59,34.14,18,1340,257.3,533,286,2.5474,110830
-121.01,37.61,21,3301,519.3,1487,586,3.4607,177275
-118.33,33.77,28,4635,949.5,1719,901,4.6425,442560
-118.23,33.89,43,978,140.8,332,116,5.1418,223436
-117.97,33.98,17,4157,1119.6,2395,939,1.4677,73750
-120.27,37.17,26,2494,695.9,1388,581,1.4893,95197
-117.76,32.94,24,2571,637.3,1816,626,3.3554,274368
-117.72,32.93,43,1784,338.6,458,252,8.7204,500001
-122.16,37.78,21,2605,709.8,1394,637,1.9069,233091
-118.34,33.97,44,3376,709.1,1181,747,5.0537,500001
-121.44,37.11,33,3813,768.6,1376,682,7.1964,448465
-118.38,33.97,15,2084,390.0,1141,384,8.058,423428
-117.63,33.8,47,251,52.4,390,59,4.0546,214024
-117.8,33.96,35,4302,1145.5,3483,1083,1.9874,82734
-117.96,32.9,17,1724,340.8,422,324,7.7992,500001
-117.64,33.99,52,866,115.1,386,91,3.1875,87823
-118.1,34.08,26,2546,501.4,1644,489,3.0559,184935
-117.26,33.96,11,2040,290.2,859,281,4.6329,278639
-121.03,34.2,41,2056,470.5,1325,460,1.5186,89192
-121.57,37.3,24,2906,649.8,1187,601,4.5491,341823
-122.36,38.66,31,3394,1007.3,3420,1025,2.0566,150064
-122.18,37.4,29,4570,815.5,3444,629,2.3329,119436
-117.85,33.87,26,2106,296.6,1299,287,6.8419,236262
