longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.15,34.01,37.0,4357.0,822.3,1987.0,903.0,5.4507,269461.0
-118.12,33.94,23.0,2708.0,362.9,731.0,305.0,4.7517,249434.0
-122.04,36.76,52.0,1354.0,291.7,479.0,250.0,3.9863,211374.0
-118.22,33.98,26.0,1647.0,507.3,1209.0,419.0,3.0139,123408.0
-118.32,33.82,16.0,3188.0,745.8,1988.0,695.0,3.7372,153063.0
-121.86,37.45,45.0,2012.0,286.5,955.0,277.0,4.084,243129.0
-117.69,33.98,14.0,2200.0,479.5,1615.0,439.0,2.5976,65661.0
-122.24,38.6,46.0,1478.0,376.9,995.0,338.0,2.3944,226492.0
-118.59,37.65,2.0,6516.0,1213.4,2534.0,1037.0,1.9053,63231.0
-118.23,36.61,16.0,1537.0,289.6,1022.0,290.0,2.6111,106215.0
-118.39,36.8,16.0,2072.0,383.4,708.0,340.0,4.3776,188880.0
-119.81,34.07,28.0,1937.0,330.2,947.0,334.0,10.5699,500001.0
-118.29,34.1,7.0,3184.0,639.1,3564.0,657.0,3.8568,141915.0
-122.22,38.72,37.0,2668.0,437.8,1707.0,393.0,4.0395,301167.0
-122.1,37.69,34.0,1551.0,226.2,722.0,198.0,5.7976,187704.0
-117.13,32.88,24.0,3671.0,575.9,1834.0,631.0,3.3168,185865.0
-118.29,34.51,11.0,1364.0,314.3,901.0,302.0,3.2359,100936.0
-118.3,34.17,17.0,8413.0,1713.6,2537.0,1541.0,2.8827,220925.0
-117.36,33.37,42.0,2229.0,559.6,2441.0,572.0,1.949,87182.0
-121.96,37.72,35.0,2251.0,535.7,1322.0,585.0,2.8052,496497.0
-118.05,33.84,16.0,3531.0,674.7,2208.0,686.0,4.3573,165812.0
-122.43,38.4,44.0,1920.0,297.6,911.0,306.0,3.5875,201599.0
-118.43,34.01,37.0,2668.0,690.2,2221.0,597.0,1.921,158577.0
-118.14,34.09,52.0,1270.0,357.0,1135.0,384.0,1.5231,155323.0
-121.92,37.63,24.0,2414.0,802.3,1019.0,687.0,1.3493,102513.0
-117.54,33.81,14.0,1862.0,447.9,959.0,403.0,3.3092,137677.0
-116.76,32.88,4.0,3841.0,667.4,2410.0,589.0,3.9887,152413.0
-117.86,33.65,27.0,1804.0,327.7,1564.0,368.0,2.7462,194221.0
-116.83,32.99,6.0,2362.0,650.1,1306.0,573.0,3.4936,108375.0
-118.8,33.68,25.0,2335.0,361.7,1782.0,348.0,5.328,329042.0
-117.18,32.79,47.0,1723.0,304.0,1059.0,311.0,3.7809,233398.0
-120.94,37.29,38.0,4401.0,652.8,3534.0,579.0,3.7792,171830.0
-118.27,34.01,28.0,1710.0,313.9,1153.0,328.0,3.2541,224302.0
-118.26,34.34,35.0,1182.0,222.0,804.0,240.0,3.2023,142772.0
-117.26,33.2,36.0,1737.0,353.1,1367.0,392.0,4.6785,385391.0
-118.47,36.59,22.0,2686.0,519.1,1413.0,519.0,2.6936,260486.0
-122.12,37.4,50.0,2481.0,576.7,1671.0,572.0,2.3206,182585.0
-121.8,37.99,24.0,1380.0,267.6,820.0,244.0,2.3236,99541.0
-118.3,34.04,23.0,2675.0,396.7,833.0,330.0,5.4374,289572.0
-117.16,33.79,21.0,2246.0,375.1,1104.0,344.0,4.4794,122755.0
-118.13,35.15,21.0,2705.0,641.8,1380.0,576.0,2.6608,123071.0
-121.92,37.72,37.0,4199.0,1042.9,4882.0,1012.0,3.3472,178692.0
-116.58,32.64,16.0,1949.0,266.1,797.0,233.0,6.6269,305625.0
-117.01,33.55,15.0,1540.0,362.6,676.0,372.0,4.7826,195175.0
-122.52,40.23,25.0,4155.0,540.7,1294.0,498.0,5.1741,163097.0
-118.06,33.8,30.0,2372.0,544.1,1718.0,473.0,1.8555,181905.0
-118.24,33.97,52.0,1632.0,448.9,1132.0,517.0,5.001,353911.0
-117.76,33.96,43.0,835.0,247.8,870.0,199.0,1.2188,38229.0
-120.04,37.53,47.0,1581.0,467.5,746.0,338.0,1.8787,145935.0
-118.58,33.9,35.0,1031.0,270.5,819.0,242.0,2.7598,139612.0
-118.83,37.37,14.0,3406.0,599.1,1297.0,522.0,2.9706,97119.0
-122.24,39.45,25.0,1394.0,297.0,730.0,269.0,3.183,158049.0
-121.38,36.67,28.0,348.0,27.7,409.0,71.0,4.3253,232602.0
-118.26,37.9,34.0,1546.0,267.5,401.0,230.0,2.3924,52779.0
-121.74,35.59,52.0,2346.0,478.6,1895.0,508.0,2.4508,282005.0
-118.12,33.84,29.0,1406.0,216.6,913.0,278.0,3.3457,215697.0
-121.75,37.32,23.0,1494.0,309.6,663.0,289.0,3.8845,200692.0
-122.04,37.62,42.0,2319.0,379.0,1115.0,402.0,2.668,191371.0
-121.77,37.81,17.0,797.0,87.9,351.0,88.0,3.4827,159904.0
-122.5,38.69,15.0,1862.0,368.4,777.0,321.0,5.4644,220918.0
-117.88,33.69,38.0,4328.0,497.4,1334.0,499.0,7.4927,453057.0
-121.62,37.59,27.0,4162.0,851.7,2252.0,766.0,2.9314,130413.0
-118.21,34.0,34.0,7192.0,1742.3,3368.0,1794.0,3.1049,102314.0
-122.12,36.21,32.0,2280.0,657.7,1637.0,609.0,3.9136,145488.0
-118.3,34.63,8.0,6112.0,1237.2,2464.0,1133.0,8.1571,360018.0
-118.29,34.04,17.0,4121.0,662.2,1880.0,598.0,5.797,293406.0
-117.67,33.72,25.0,1366.0,268.1,872.0,280.0,2.9054,202718.0
-117.22,33.75,52.0,843.0,129.0,166.0,136.0,5.3799,283901.0
-118.28,33.93,52.0,1364.0,303.7,1016.0,322.0,3.3504,184686.0
-118.16,36.85,40.0,3786.0,681.0,1349.0,588.0,3.4348,213925.0
-122.51,40.37,24.0,1659.0,270.9,399.0,254.0,4.4647,115747.0
-122.3,38.06,52.0,1249.0,171.1,489.0,162.0,1.7286,98573.0
-119.79,37.46,52.0,2586.0,497.4,972.0,579.0,3.913,246273.0
-118.56,34.76,26.0,1604.0,296.8,839.0,269.0,2.9489,140984.0
-119.93,37.81,2.0,8201.0,2042.8,1987.0,1396.0,2.9411,75799.0
-121.93,36.76,52.0,2372.0,648.0,1823.0,567.0,2.0152,190970.0
-122.26,38.59,25.0,1759.0,413.5,1141.0,381.0,3.9348,121486.0
-118.07,34.07,21.0,2732.0,425.6,1577.0,414.0,3.6657,189693.0
-121.84,34.72,15.0,4176.0,596.2,2942.0,513.0,10.4822,396087.0
-119.11,34.16,36.0,1913.0,494.7,1273.0,470.0,2.4031,161857.0
-118.26,33.82,16.0,4407.0,899.5,2175.0,822.0,5.411,279587.0
-121.93,37.78,16.0,3204.0,433.2,1676.0,457.0,5.9214,305031.0
-117.09,33.73,5.0,1630.0,299.7,891.0,291.0,3.0858,110510.0
-121.9,37.41,14.0,1712.0,262.6,587.0,267.0,4.489,500001.0
-118.15,34.05,16.0,3787.0,662.3,1858.0,803.0,4.7074,342099.0
-121.84,37.64,52.0,940.0,319.7,912.0,296.0,2.1591,210790.0
