longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.46,34.05,15.0,4855.0,653.0,917.0,488.0,5.2188,318414.0
-117.02,32.57,18.0,4418.0,1064.8,2571.0,841.0,3.6598,177709.0
-118.22,34.07,45.0,1646.0,429.3,1365.0,414.0,3.8492,86231.0
-118.16,33.7,17.0,3922.0,1091.7,1914.0,868.0,7.8038,277782.0
-117.95,33.95,20.0,251.0,20.6,186.0,67.0,6.6056,499842.0
-122.02,38.0,22.0,1877.0,295.0,685.0,248.0,3.346,93021.0
-117.08,32.72,7.0,2793.0,459.1,984.0,399.0,7.2474,194309.0
-118.03,33.76,31.0,665.0,165.1,631.0,164.0,1.7325,81778.0
-117.15,32.84,33.0,2432.0,1288.4,1912.0,1230.0,2.4403,263117.0
-117.95,33.79,24.0,3033.0,496.5,1507.0,625.0,5.2013,500001.0
-120.92,37.93,26.0,597.0,124.4,335.0,88.0,3.7395,61363.0
-119.87,37.27,52.0,2118.0,434.7,1345.0,438.0,2.394,167021.0
-117.89,33.69,36.0,1341.0,388.4,715.0,377.0,2.9876,288583.0
-118.31,33.99,16.0,892.0,170.2,450.0,188.0,2.6161,150106.0
-118.05,33.97,25.0,1198.0,265.8,693.0,248.0,3.4885,160163.0
-121.31,37.6,19.0,2418.0,505.9,1040.0,422.0,3.1881,131851.0
-122.24,38.66,41.0,1451.0,286.8,529.0,267.0,3.0327,120442.0
-118.54,36.62,35.0,1662.0,281.8,1149.0,260.0,3.3638,99011.0
-121.95,38.74,22.0,1395.0,304.5,766.0,277.0,2.743,109893.0
-118.03,34.25,21.0,2207.0,443.9,986.0,375.0,5.143,286740.0
-118.24,34.02,52.0,517.0,142.0,721.0,174.0,3.7591,194413.0
-118.2,37.64,13.0,4491.0,1103.1,1899.0,867.0,3.9776,134570.0
-118.32,35.53,32.0,476.0,101.5,356.0,76.0,2.8102,165841.0
-116.85,32.63,24.0,1362.0,373.6,734.0,386.0,4.4801,192065.0
-119.73,34.11,52.0,319.0,178.5,370.0,177.0,2.9403,223496.0
-118.62,35.52,38.0,1213.0,415.8,525.0,308.0,1.6146,169030.0
-119.98,34.19,28.0,1765.0,468.1,1212.0,389.0,1.9477,75299.0
-120.9,36.19,21.0,1536.0,354.3,518.0,356.0,2.862,262350.0
