longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.15,34.01,37,4400,828.4,1984,901,5.4416,269529
-118.12,33.94,23,2713,363.3,732,305,4.7471,250386
-122.04,36.74,52,1357,293.7,477,251,3.9906,210545
-118.23,33.98,26,1641,508.8,1204,421,3.0191,122694
-118.32,33.82,16,3182,755.1,1986,696,3.7419,153531
-121.86,37.45,45,2009,287.2,949,275,4.0769,243195
-117.69,33.98,14,2197,482.3,1614,441,2.5903,65375
-122.25,38.6,46,1477,378.4,989,338,2.3942,226509
-118.58,37.66,2,6555,1208.9,2540,1040,1.919,62983
-118.24,36.6,16,1536,290.7,1018,290,2.6034,105475
-118.4,36.77,16,2071,384.7,711,340,4.3749,188902
-119.8,34.07,28,1932,331.7,941,335,10.7121,500001
-118.29,34.1,6,3177,640.6,3605,653,3.8555,142476
-122.23,38.71,37,2675,439.5,1704,393,4.0412,301320
-122.1,37.7,34,1548,228.2,724,200,5.7903,187668
-117.13,32.87,24,3697,576.3,1832,629,3.3229,186120
-118.29,34.51,11,1367,316.3,896,301,3.2361,100919
-118.31,34.17,17,8258,1722.0,2542,1543,2.8843,220346
-117.37,33.34,43,2224,559.2,2441,570,1.9592,87283
-121.95,37.72,35,2249,538.2,1314,583,2.8039,493634
-118.06,33.84,16,3529,677.2,2219,687,4.3604,165580
-122.44,38.39,44,1915,300.5,907,307,3.5935,201365
-118.43,34.01,37,2674,692.4,2232,595,1.9331,158536
-118.14,34.1,52,1287,357.9,1132,384,1.5173,155846
-121.91,37.63,24,2421,806.6,1013,687,1.345,102264
-117.54,33.81,14,1860,449.5,954,403,3.3117,137811
-116.78,32.87,4,3859,670.9,2416,587,3.9937,152922
-117.86,33.65,27,1801,329.3,1559,368,2.7374,193802
-116.84,32.99,6,2369,651.3,1297,571,3.4968,107230
-118.8,33.69,25,2340,361.6,1781,348,5.3179,328512
-117.17,32.79,46,1720,307.2,1058,312,3.7852,233189
-120.93,37.3,38,4438,654.1,3570,577,3.7821,172221
-118.28,34.01,28,1707,316.0,1150,328,3.2522,224175
-118.26,34.33,35,1190,224.7,800,240,3.203,143448
-117.26,33.2,36,1736,353.4,1362,393,4.6704,384661
-118.47,36.59,22,2693,521.7,1410,517,2.6864,260991
-122.12,37.4,50,2486,577.3,1672,570,2.3279,182858
-121.79,37.98,24,1382,269.1,815,244,2.3295,99519
