fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
6.0,0.65,0.12,2.1,0.101,22.0,72.0,0.99397,3.38,0.67,10.3
8.7,0.39,0.49,2.7,0.08,10.0,59.0,0.99688,3.12,0.94,11.7
7.6,0.38,0.33,2.8,0.09,34.0,69.0,0.9962,3.33,0.55,9.6
9.8,0.6,0.26,3.4,0.056,5.0,11.0,0.99701,3.24,0.55,10.6
10.8,0.22,0.48,2.4,0.052,31.0,29.0,0.99613,3.14,0.55,11.0
8.9,0.36,0.57,2.2,0.072,7.0,27.0,0.99686,3.27,0.5,9.7
9.1,0.6,0.46,1.7,0.059,13.0,35.0,0.99594,3.46,0.54,12.7
6.5,0.66,0.0,2.5,0.083,5.0,29.0,0.99622,3.48,0.59,9.6
7.2,0.35,0.03,2.2,0.102,12.0,66.0,0.99608,3.28,0.7,9.5
5.2,0.35,0.01,1.1,0.07,10.0,16.0,0.99023,3.58,0.64,10.1
6.5,0.58,0.02,1.6,0.072,5.0,42.0,0.99591,3.27,0.57,8.9
12.8,0.23,0.51,2.1,0.055,20.0,38.0,0.99911,3.25,0.51,9.5
10.8,0.61,0.22,2.1,0.056,11.0,44.0,0.99897,3.12,0.51,9.6
7.4,0.95,0.01,1.9,0.092,13.0,32.0,0.99914,3.41,0.66,9.0
7.6,0.34,0.54,1.9,0.11,11.0,39.0,0.99583,3.33,0.57,12.5
6.3,0.6,0.17,1.5,0.079,14.0,17.0,0.99402,3.42,0.6,11.8
8.9,0.49,0.3,1.6,0.072,9.0,30.0,0.99588,3.35,0.58,11.0
7.2,0.66,0.17,5.7,0.089,34.0,160.0,0.99696,3.35,0.61,10.5
7.1,0.83,0.1,1.8,0.092,9.0,34.0,0.99716,3.54,0.48,9.5
7.5,0.62,0.1,2.5,0.057,18.0,30.0,0.99615,3.4,0.68,11.9
7.1,1.58,0.01,2.5,0.079,5.0,18.0,0.99686,3.52,0.46,9.6
7.6,0.41,0.12,2.1,0.067,28.0,86.0,0.99398,3.22,0.57,12.6
7.1,0.5,0.38,3.3,0.095,7.0,67.0,0.99608,3.26,0.72,11.1
8.4,0.5,0.44,8.5,0.071,20.0,147.0,0.99894,3.08,0.78,9.4
6.5,0.67,0.01,2.0,0.071,23.0,58.0,0.9963,3.55,0.54,9.8
10.3,0.19,0.68,2.1,0.088,17.0,135.0,1.00005,3.23,0.72,9.0
7.7,0.6,0.14,1.8,0.114,5.0,28.0,0.99588,3.25,0.57,10.2
6.8,0.28,0.32,1.9,0.075,68.0,289.0,0.99694,3.44,1.23,9.4
8.9,0.33,0.5,2.3,0.086,30.0,134.0,0.99691,3.18,1.14,10.2
10.2,0.62,0.37,1.7,0.085,21.0,41.0,0.99603,3.2,0.69,10.7
7.2,0.42,0.09,2.3,0.054,5.0,16.0,0.99797,3.94,0.43,10.5
9.0,0.65,0.47,2.2,0.082,12.0,57.0,0.99588,3.13,0.52,10.9
8.5,0.42,0.48,2.1,0.137,10.0,39.0,0.99606,3.18,0.93,10.5
7.7,0.65,0.33,2.1,0.093,2.0,18.0,0.99584,3.35,0.47,11.1
6.5,0.6,0.02,11.1,0.077,11.0,46.0,0.99593,3.24,0.6,9.5
8.2,0.46,0.48,2.1,0.098,11.0,37.0,0.99604,3.23,0.71,10.5
5.5,0.75,0.0,1.6,0.074,7.0,24.0,0.99397,3.42,0.57,9.5
8.7,0.19,0.53,1.9,0.073,31.0,52.0,0.99606,3.37,1.13,10.8
10.4,0.33,0.37,3.7,0.067,17.0,65.0,1.0006,3.25,0.61,9.4
7.9,0.68,0.01,2.0,0.083,19.0,15.0,0.99795,3.4,0.53,9.2
7.1,0.49,0.36,1.8,0.065,6.0,21.0,0.99169,3.44,0.58,14.0
9.0,0.51,0.3,1.6,0.073,10.0,35.0,0.99785,3.4,0.54,9.7
8.5,0.51,0.49,2.1,0.137,11.0,28.0,0.99592,3.26,1.07,12.6
7.6,0.65,0.06,3.0,0.051,12.0,15.0,0.996,3.32,0.51,11.3
7.9,0.58,0.21,2.8,0.098,6.0,37.0,0.99817,3.39,0.69,9.4
9.9,0.41,0.48,1.4,0.093,16.0,109.0,0.99808,3.17,1.2,9.0
15.9,0.91,0.66,2.1,0.096,11.0,52.0,1.00369,3.02,0.61,9.4
7.8,0.55,0.34,1.5,0.083,31.0,61.0,0.99499,3.21,0.75,9.5
8.3,0.12,0.73,2.2,0.115,10.0,36.0,0.99894,3.17,1.32,8.9
5.1,0.77,0.0,1.9,0.077,11.0,41.0,0.99495,3.85,0.57,10.6
9.4,0.55,0.27,1.3,0.075,6.0,10.0,0.99627,3.33,0.51,10.1
9.7,0.67,0.1,2.5,0.067,1.0,8.0,0.9971,3.49,0.57,13.1
7.4,0.67,0.01,2.8,0.058,33.0,71.0,0.996,3.3,0.61,9.8
8.4,0.4,0.4,2.2,0.072,6.0,12.0,0.99688,3.36,0.91,11.4
6.0,0.88,0.0,2.5,0.069,26.0,57.0,0.99489,3.4,0.46,9.6
12.8,0.42,0.56,4.5,0.07,7.0,19.0,0.99814,3.29,0.57,11.1
7.6,0.4,0.1,2.4,0.044,17.0,85.0,0.99904,3.6,0.55,9.5
10.4,0.63,0.23,1.4,0.072,23.0,47.0,0.99594,3.12,0.67,10.8
7.6,0.56,0.15,2.1,0.057,5.0,13.0,0.99585,3.29,0.59,11.5
10.6,0.43,0.38,1.8,0.044,11.0,15.0,0.99793,3.37,0.62,11.6
7.8,0.51,0.12,1.8,0.07,16.0,32.0,0.99607,3.38,0.57,12.0
8.2,0.64,0.01,2.0,0.076,21.0,24.0,0.9978,3.22,0.55,9.2
12.2,0.41,0.71,1.5,0.075,10.0,19.0,0.99811,3.09,0.82,9.5
7.4,0.71,0.02,2.4,0.078,13.0,94.0,0.99722,3.34,0.59,9.1
8.5,0.59,0.41,6.5,0.092,7.0,36.0,0.99715,3.16,0.57,10.1
7.0,0.6,0.0,1.2,0.069,3.0,8.0,0.99123,3.19,0.57,10.3
7.8,0.51,0.14,4.1,0.081,65.0,278.0,0.99878,3.29,0.58,9.1
8.2,0.66,0.05,2.1,0.059,13.0,45.0,0.99798,3.4,0.5,9.5
8.0,0.47,0.34,2.4,0.098,5.0,23.0,0.99597,3.21,0.54,10.4
6.3,0.42,0.47,2.7,0.109,10.0,79.0,0.99506,3.3,0.8,10.5
10.7,0.28,0.48,2.0,0.077,8.0,20.0,0.99695,3.27,0.62,10.7
8.1,0.49,0.33,1.7,0.081,10.0,18.0,0.99411,3.28,0.62,11.9
7.5,0.78,0.01,2.1,0.07,2.0,14.0,0.99511,3.41,0.6,12.1
