fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
8.9,0.46,0.47,5.4,0.079,14.0,97.0,0.99897,3.2,0.7,9.5
7.3,0.58,0.01,1.4,0.061,5.0,17.0,0.99411,3.24,0.69,10.2
8.0,0.3,0.31,2.2,0.055,18.0,29.0,0.99595,3.29,0.88,11.5
6.7,0.7,0.0,2.2,0.045,6.0,22.0,0.99603,3.56,0.48,9.9
6.3,0.45,0.04,2.7,0.079,6.0,23.0,0.99504,3.37,0.65,11.5
10.0,0.34,0.46,2.4,0.095,10.0,24.0,0.99609,3.03,0.83,11.8
7.8,0.69,0.22,2.0,0.087,32.0,80.0,0.99806,3.11,0.74,9.0
7.5,0.55,0.01,2.0,0.075,32.0,42.0,0.99591,3.3,0.7,10.6
7.2,0.63,0.13,2.8,0.071,13.0,33.0,0.99505,3.38,0.58,12.0
7.6,0.31,0.29,2.0,0.063,12.0,37.0,0.99717,3.42,0.65,9.6
5.7,0.6,0.02,7.9,0.074,28.0,71.0,0.99414,3.59,0.63,13.0
6.9,0.85,0.0,2.4,0.187,8.0,17.0,0.99687,3.35,0.49,9.4
6.7,0.64,0.01,3.8,0.063,15.0,61.0,0.99512,3.42,0.65,10.3
8.2,0.55,0.39,1.7,0.063,16.0,56.0,0.99606,3.36,0.54,10.4
8.4,0.38,0.58,2.7,0.07,23.0,42.0,0.99704,3.44,0.56,11.9
8.7,0.64,0.5,2.2,0.077,6.0,21.0,0.99681,3.32,0.63,11.9
7.9,0.78,0.08,14.0,0.09,10.0,21.0,0.99899,3.33,0.66,10.1
7.8,0.38,0.09,1.9,0.083,15.0,15.0,0.99604,3.38,0.57,10.2
8.0,0.34,0.44,2.6,0.1,30.0,32.0,0.99595,3.31,0.8,12.3
15.9,0.42,0.76,4.6,0.113,9.0,50.0,1.0027,2.88,0.68,10.0
13.2,0.21,0.72,1.6,0.075,18.0,45.0,0.99613,2.93,0.87,10.6
8.3,0.51,0.2,7.3,0.086,5.0,19.0,0.99702,3.35,0.55,10.9
8.9,0.64,0.08,2.0,0.07,7.0,57.0,0.99794,3.15,0.66,10.2
10.2,0.27,0.49,3.5,0.067,20.0,67.0,0.99689,3.17,0.39,9.7
7.6,0.33,0.53,1.6,0.077,13.0,88.0,0.99392,3.35,0.66,11.4
8.8,0.53,0.24,2.2,0.072,14.0,51.0,0.99903,3.21,0.96,8.9
7.7,0.62,0.23,2.0,0.077,9.0,22.0,0.99695,3.41,0.55,10.3
8.5,0.64,0.32,1.9,0.075,18.0,75.0,0.99685,3.3,0.77,9.8
9.0,0.44,0.33,3.2,0.092,26.0,110.0,0.99801,3.27,0.63,10.0
7.7,0.54,0.31,1.9,0.367,6.0,12.0,0.99713,3.4,0.85,10.1
7.9,0.36,0.35,1.9,0.095,11.0,20.0,0.99595,3.33,0.61,10.1
8.3,0.55,0.21,2.0,0.08,5.0,9.0,0.99596,3.29,0.63,12.5
9.8,0.43,0.42,1.8,0.079,9.0,31.0,0.99603,3.24,0.88,11.2
8.7,0.62,0.21,2.4,0.078,14.0,25.0,0.99703,3.35,0.8,11.5
12.9,0.31,0.67,2.5,0.418,6.0,16.0,0.99811,2.88,0.75,9.4
8.1,0.57,0.5,3.4,0.079,9.0,50.0,0.99597,3.41,0.77,12.7
6.0,0.89,0.0,3.1,0.051,12.0,41.0,0.99591,3.51,0.55,9.7
7.7,0.55,0.3,2.7,0.065,5.0,44.0,0.99694,3.27,0.76,10.2
10.4,0.47,0.64,7.6,0.086,30.0,120.0,1.00072,3.11,0.8,9.7
5.9,0.4,0.0,1.9,0.076,37.0,63.0,0.99602,3.4,0.48,9.0
8.6,0.5,0.03,2.1,0.049,19.0,44.0,0.99598,3.25,0.46,10.2
10.0,0.33,0.53,2.0,0.071,11.0,19.0,0.99603,3.12,1.02,11.4
7.1,0.59,0.1,2.1,0.087,24.0,42.0,0.99587,3.34,0.43,9.4
11.1,0.74,0.28,2.7,0.087,58.0,282.0,0.9999,3.03,0.49,9.2
7.0,0.33,0.17,1.6,0.106,24.0,44.0,0.99681,3.39,0.62,9.7
9.0,0.33,0.42,1.8,0.054,21.0,113.0,0.99516,3.25,0.55,10.9
7.2,0.4,0.25,1.8,0.08,13.0,29.0,0.99413,3.29,0.74,11.6
6.8,0.58,0.22,1.5,0.089,7.0,36.0,0.99402,3.18,0.49,9.6
8.4,0.35,0.49,1.6,0.079,5.0,12.0,0.99595,3.21,0.61,10.9
7.2,0.68,0.01,2.4,0.101,3.0,9.0,0.99699,3.38,0.64,9.5
8.0,0.49,0.48,2.5,0.089,11.0,29.0,0.99604,3.31,0.6,11.1
12.8,0.57,0.48,4.1,0.076,3.0,9.0,0.9971,3.05,0.58,13.5
8.5,0.45,0.48,1.4,0.085,16.0,20.0,0.9969,3.36,0.62,10.1
13.0,0.43,0.57,2.1,0.072,17.0,29.0,0.99895,3.08,0.7,10.5
10.2,0.38,0.45,1.8,0.072,14.0,51.0,0.99603,3.25,0.84,12.0
12.2,0.32,0.46,1.5,0.104,14.0,26.0,0.99804,2.98,1.97,9.6
8.1,0.63,0.27,2.4,0.072,18.0,128.0,0.99819,3.48,0.56,9.4
7.7,0.53,0.4,1.6,0.174,10.0,26.0,0.99503,3.09,0.85,10.1
6.5,0.36,0.11,4.2,0.072,7.0,21.0,0.99576,3.19,0.58,9.8
9.3,0.85,0.37,2.2,0.072,50.0,133.0,0.99788,3.26,0.6,9.7
7.2,0.43,0.23,1.9,0.068,15.0,33.0,0.99691,3.19,0.74,9.6
5.4,0.56,0.01,1.5,0.061,6.0,52.0,0.99489,3.74,0.62,9.6
7.2,0.62,0.02,2.5,0.071,11.0,45.0,0.99694,3.36,0.69,9.4
9.1,0.59,0.26,2.4,0.059,24.0,53.0,0.99689,3.38,0.52,10.0
6.2,0.69,0.0,4.2,0.044,44.0,108.0,0.99592,3.5,0.54,10.2
