X2,X3,X4,X5,X6,X7,X8,X9
0.326,0.251,0.141,0.5025,0.2151,0.1084,0.168,8
0.621,0.48,0.133,1.4601,0.6797,0.3301,0.373,10
0.644,0.511,0.195,1.5241,0.7375,0.3579,0.382,8
0.45,0.332,0.139,0.3118,0.1438,0.1169,0.087,5
0.581,0.463,0.178,1.3867,0.6561,0.3042,0.368,13
0.659,0.529,0.176,1.2884,0.5984,0.229,0.388,8
0.423,0.31,0.09,0.3355,0.1829,0.0895,0.078,4
0.506,0.401,0.175,0.356,0.2381,0.1188,0.061,7
0.574,0.452,0.185,1.0626,0.4964,0.2455,0.273,10
0.595,0.47,0.156,0.8005,0.2668,0.1736,0.29,10
0.453,0.364,0.113,0.5388,0.1531,0.1227,0.203,16
0.399,0.307,0.109,0.4514,0.1779,0.0885,0.114,10
0.571,0.442,0.116,0.5418,0.1509,0.1173,0.197,11
0.444,0.297,0.117,0.4845,0.1766,0.1286,0.126,9
0.304,0.233,0.099,0.1682,0.1168,0.0488,0.028,8
0.495,0.39,0.161,0.9116,0.3347,0.2161,0.293,11
0.582,0.477,0.15,1.3793,0.5883,0.3171,0.405,14
0.554,0.41,0.137,0.4641,0.214,0.1306,0.098,8
0.478,0.345,0.14,0.5693,0.3002,0.0848,0.15,8
0.538,0.418,0.137,0.9108,0.4408,0.2064,0.228,6
0.334,0.28,0.064,0.4561,0.1614,0.0833,0.157,7
0.496,0.369,0.096,0.3938,0.1864,0.0649,0.089,12
0.527,0.401,0.133,0.4906,0.1896,0.1011,0.135,7
0.315,0.254,0.061,0.0696,0.0163,0.012,0.057,8
0.646,0.511,0.178,1.7456,0.838,0.3222,0.42,9
0.569,0.455,0.155,1.0639,0.4376,0.2273,0.31,12
0.697,0.56,0.177,2.1435,0.903,0.3999,0.551,16
0.417,0.333,0.111,0.2864,0.1437,0.0589,0.094,5
0.558,0.442,0.168,0.6656,0.2741,0.1103,0.242,11
0.365,0.265,0.116,0.301,0.1336,0.0427,0.105,7
0.326,0.265,0.09,0.1247,0.0437,0.0442,0.047,6
0.566,0.417,0.174,0.9242,0.3934,0.254,0.27,18
0.324,0.231,0.053,0.1486,0.0975,0.0169,0.041,8
0.655,0.516,0.191,1.282,0.5584,0.2926,0.326,16
0.589,0.465,0.154,1.2263,0.6239,0.2105,0.33,10
0.507,0.394,0.136,0.5973,0.1946,0.1445,0.192,7
0.229,0.161,0.045,0.0381,0.0339,0.0107,0.01,7
0.674,0.553,0.197,1.5534,0.6169,0.3695,0.462,12
0.565,0.439,0.14,0.8313,0.3878,0.1865,0.227,8
0.635,0.48,0.188,1.1656,0.5619,0.2662,0.301,9
0.555,0.436,0.127,1.2198,0.4841,0.2817,0.342,14
0.374,0.275,0.146,0.1859,0.0984,0.0971,0.038,8
0.353,0.268,0.146,0.1799,0.109,0.0318,0.061,6
0.182,0.133,0.062,0.0801,0.0594,0.0149,0.018,6
0.597,0.45,0.155,1.1077,0.6003,0.2162,0.215,6
0.404,0.3,0.143,0.3751,0.0869,0.1028,0.156,9
0.557,0.418,0.139,0.6067,0.4222,0.1262,0.116,5
0.334,0.271,0.147,0.1414,0.0449,0.0319,0.08,10
0.557,0.406,0.097,1.0855,0.5146,0.2646,0.277,7
0.585,0.462,0.151,0.9445,0.4371,0.2084,0.247,10
0.692,0.563,0.214,1.3851,0.5647,0.3037,0.444,23
0.598,0.462,0.15,1.1809,0.5757,0.2359,0.308,6
0.538,0.427,0.107,0.846,0.3685,0.1561,0.252,11
0.39,0.306,0.109,0.171,0.0446,0.0283,0.15,11
0.728,0.574,0.179,1.4845,0.7054,0.3061,0.362,11
0.596,0.471,0.147,1.2883,0.6138,0.2757,0.336,10
0.33,0.261,0.102,0.3837,0.1268,0.1277,0.099,10
0.622,0.498,0.189,0.9586,0.3693,0.1819,0.325,16
0.266,0.217,0.053,0.3657,0.1657,0.0951,0.111,7
0.633,0.493,0.163,1.3599,0.4944,0.2989,0.499,13
0.531,0.416,0.1,0.779,0.3139,0.1104,0.289,10
0.535,0.391,0.144,1.2248,0.5449,0.25,0.34,10
0.633,0.496,0.167,1.158,0.3643,0.2494,0.42,23
0.432,0.339,0.085,0.3032,0.1326,0.092,0.088,7
0.229,0.181,0.102,0.0185,0.0117,0.0084,0.009,8
