X2,X3,X4,X5,X6,X7,X8,X9
0.581,0.454,0.108,0.54,0.3173,0.0909,0.127,8
0.15,0.11,0.041,0.002,0.001,0.0005,0.009,7
0.521,0.401,0.104,0.7003,0.2717,0.1824,0.209,8
0.656,0.516,0.166,1.5114,0.6675,0.3519,0.401,15
0.607,0.464,0.117,0.6536,0.3302,0.1626,0.136,8
0.642,0.512,0.187,1.2875,0.5432,0.2258,0.397,10
0.425,0.359,0.111,0.6387,0.3412,0.2041,0.072,6
0.526,0.397,0.152,0.7954,0.3654,0.1585,0.237,9
0.59,0.454,0.185,1.1172,0.5091,0.2284,0.303,13
0.572,0.424,0.153,0.8429,0.3269,0.2008,0.214,10
0.302,0.209,0.09,0.205,0.0915,0.0493,0.072,6
0.63,0.495,0.155,1.123,0.5483,0.2332,0.301,8
0.558,0.431,0.163,0.9911,0.4694,0.1748,0.282,14
0.392,0.329,0.128,0.3857,0.1238,0.1054,0.152,9
0.375,0.285,0.146,0.2798,0.0822,0.0885,0.101,10
0.562,0.407,0.147,0.639,0.2718,0.1225,0.204,9
0.595,0.476,0.161,0.8457,0.3087,0.2068,0.246,20
0.442,0.331,0.086,0.4143,0.1939,0.0584,0.114,8
0.693,0.557,0.2,1.5221,0.6372,0.3185,0.485,18
0.411,0.356,0.109,0.4562,0.2096,0.1489,0.092,4
0.72,0.565,0.2,2.2834,1.1296,0.4656,0.534,14
0.583,0.468,0.179,1.0381,0.439,0.1902,0.336,16
0.263,0.184,0.092,0.1302,0.0713,0.0273,0.03,8
0.543,0.411,0.147,0.6934,0.1974,0.1715,0.247,9
0.572,0.455,0.123,0.8384,0.378,0.1872,0.209,9
0.568,0.446,0.154,0.7916,0.3585,0.1525,0.239,11
0.472,0.37,0.135,0.4824,0.1516,0.1089,0.167,11
0.58,0.458,0.151,0.7816,0.3059,0.2083,0.212,9
0.662,0.525,0.162,1.474,0.6054,0.3392,0.433,11
0.599,0.475,0.138,0.9393,0.4088,0.2028,0.305,12
0.37,0.272,0.093,0.2298,0.1068,0.0531,0.077,7
0.485,0.364,0.163,0.6772,0.3178,0.1684,0.157,8
0.472,0.364,0.131,0.5064,0.1719,0.1393,0.169,9
0.496,0.382,0.108,0.6261,0.3461,0.1515,0.121,6
0.349,0.28,0.102,0.1439,0.0663,0.0518,0.04,7
0.552,0.423,0.155,0.4468,0.1751,0.089,0.163,14
0.695,0.542,0.179,1.5219,0.7256,0.2664,0.472,9
0.606,0.476,0.155,0.9095,0.4707,0.1721,0.24,9
0.438,0.288,0.097,0.6773,0.4287,0.1526,0.104,6
0.599,0.482,0.168,1.3074,0.4945,0.2758,0.43,13
0.403,0.291,0.08,0.5502,0.2767,0.0985,0.143,7
0.177,0.14,0.06,0.0496,0.0246,0.0192,0.014,7
0.496,0.367,0.122,0.7792,0.3908,0.1501,0.179,8
0.597,0.486,0.177,0.9178,0.4515,0.1663,0.272,9
0.643,0.517,0.192,1.3932,0.6988,0.3063,0.363,10
0.499,0.373,0.13,0.3892,0.1282,0.06,0.222,10
0.54,0.404,0.172,0.8122,0.298,0.19,0.233,7
0.636,0.497,0.195,1.4176,0.6368,0.2932,0.372,9
0.277,0.198,0.091,0.1243,0.0356,0.023,0.058,7
0.272,0.186,0.063,0.129,0.0902,0.0308,0.02,4
0.347,0.245,0.094,0.1643,0.0732,0.0363,0.071,8
0.548,0.41,0.145,0.5307,0.2359,0.1508,0.12,11
0.338,0.248,0.126,0.4185,0.2319,0.0993,0.074,7
0.603,0.476,0.2,1.3511,0.5922,0.3086,0.356,19
0.717,0.566,0.212,1.8106,0.7186,0.4081,0.52,15
0.591,0.469,0.181,0.9735,0.5627,0.2194,0.218,3
0.485,0.355,0.104,0.5807,0.3073,0.1264,0.165,9
0.588,0.456,0.17,0.8905,0.3206,0.2116,0.265,11
0.614,0.463,0.186,1.0309,0.4384,0.1949,0.304,18
0.616,0.483,0.18,0.8006,0.32,0.1415,0.264,11
0.556,0.432,0.148,1.0219,0.5322,0.229,0.267,9
0.614,0.485,0.188,1.1229,0.4207,0.3353,0.287,10
0.671,0.553,0.182,1.6102,0.7266,0.3955,0.426,10
0.375,0.28,0.108,0.2136,0.148,0.0364,0.06,8
0.495,0.387,0.157,0.2347,0.0769,0.0484,0.086,8
0.54,0.413,0.149,0.8635,0.328,0.2152,0.239,10
0.342,0.273,0.149,0.3397,0.121,0.1195,0.092,6
0.61,0.462,0.173,0.9327,0.403,0.2099,0.284,14
0.441,0.339,0.11,0.4905,0.1791,0.1197,0.141,12
0.392,0.311,0.089,0.2653,0.0475,0.0537,0.198,10
0.261,0.201,0.046,0.0294,0.0075,0.0067,0.03,8
0.463,0.368,0.128,0.3682,0.1521,0.057,0.14,12
0.561,0.452,0.176,1.1151,0.3842,0.2509,0.336,14
0.72,0.566,0.243,2.0608,0.9311,0.4189,0.604,12
0.564,0.433,0.172,0.4589,0.2182,0.0975,0.151,8
0.461,0.344,0.107,0.4261,0.2336,0.0983,0.112,11
0.618,0.505,0.179,1.2572,0.5173,0.2392,0.416,12
0.575,0.455,0.161,0.7136,0.2544,0.2161,0.166,10
