X2,X3,X4,X5,X6,X7,X8,X9
0.424,0.313,0.103,0.6799,0.3551,0.1252,0.179,10
0.567,0.452,0.15,0.9448,0.4607,0.2289,0.235,8
0.454,0.354,0.121,0.2559,0.1582,0.0735,0.042,7
0.459,0.371,0.117,0.5734,0.2611,0.1107,0.221,11
0.408,0.308,0.072,0.3554,0.1444,0.0691,0.146,8
0.492,0.358,0.117,0.2864,0.133,0.093,0.084,9
0.493,0.391,0.105,0.6841,0.315,0.1357,0.188,9
0.499,0.38,0.14,0.8035,0.3775,0.2112,0.221,10
0.628,0.489,0.166,1.382,0.5731,0.3116,0.416,9
0.639,0.506,0.199,1.4314,0.6848,0.2928,0.38,9
0.534,0.395,0.142,0.4469,0.264,0.1137,0.087,8
0.504,0.4,0.131,0.7897,0.3421,0.2135,0.191,6
0.376,0.267,0.087,0.376,0.2906,0.0938,0.064,4
0.544,0.405,0.138,0.6738,0.2584,0.1649,0.203,8
0.577,0.456,0.143,1.0299,0.4291,0.2255,0.284,9
0.53,0.398,0.164,0.7671,0.2689,0.2084,0.179,11
0.56,0.455,0.15,1.0486,0.4611,0.2282,0.294,12
0.382,0.274,0.122,0.3629,0.1839,0.0937,0.098,9
0.563,0.457,0.093,1.087,0.4809,0.2037,0.31,10
0.547,0.418,0.132,0.7254,0.2263,0.157,0.247,8
0.618,0.479,0.128,1.3623,0.6009,0.278,0.392,13
0.438,0.35,0.137,0.5188,0.2563,0.0758,0.149,10
0.266,0.17,0.062,0.1373,0.0562,0.0324,0.05,9
0.465,0.358,0.118,0.6608,0.2845,0.1505,0.213,9
0.531,0.382,0.132,0.621,0.2664,0.1609,0.151,9
0.608,0.472,0.148,1.027,0.4027,0.2581,0.276,12
0.51,0.357,0.099,0.5565,0.2966,0.1793,0.092,7
0.511,0.422,0.134,0.5048,0.108,0.1255,0.24,10
0.444,0.34,0.136,0.2397,0.1723,0.0842,0.051,6
0.604,0.477,0.172,1.1816,0.4596,0.2453,0.379,14
0.52,0.41,0.147,0.8655,0.3301,0.1296,0.302,9
0.714,0.576,0.194,1.6188,0.8107,0.3155,0.406,10
0.509,0.406,0.177,0.3072,0.0721,0.0741,0.163,12
0.488,0.391,0.13,0.4528,0.2097,0.0997,0.126,9
0.375,0.278,0.094,0.1224,0.0665,0.0178,0.033,9
0.602,0.457,0.158,1.2404,0.5647,0.2121,0.391,10
0.487,0.356,0.156,0.6325,0.2197,0.2008,0.156,9
0.61,0.482,0.18,1.2674,0.499,0.2855,0.4,9
