X2,X3,X4,X5,X6,X7,X8,X9
0.6,0.471,0.131,1.0484,0.4921,0.2004,0.312,10
0.346,0.27,0.1,0.1941,0.0733,0.0432,0.094,12
0.547,0.435,0.171,1.0704,0.4275,0.2298,0.303,9
0.451,0.344,0.128,0.4322,0.1228,0.103,0.147,9
0.536,0.424,0.12,0.7476,0.36,0.1564,0.198,10
0.546,0.414,0.145,1.1752,0.4877,0.2625,0.334,11
0.265,0.206,0.07,0.0584,0.0063,0.0345,0.028,6
0.26,0.18,0.041,0.1283,0.0977,0.0385,0.017,6
0.677,0.52,0.171,1.1803,0.6275,0.2773,0.201,8
0.56,0.435,0.2,1.1741,0.4763,0.2186,0.366,15
0.535,0.409,0.157,0.8204,0.2217,0.1696,0.339,14
0.424,0.33,0.153,0.2054,0.0541,0.0403,0.161,14
0.609,0.482,0.17,0.7944,0.3839,0.1427,0.223,15
0.5,0.356,0.096,0.6801,0.4274,0.1431,0.107,8
0.339,0.274,0.114,0.7187,0.3415,0.1719,0.166,9
0.384,0.3,0.091,0.2256,0.049,0.0472,0.129,9
0.589,0.439,0.144,0.8138,0.299,0.1579,0.279,11
0.601,0.491,0.181,1.287,0.4736,0.2724,0.421,13
0.506,0.397,0.144,0.6027,0.2544,0.1333,0.169,6
0.48,0.373,0.131,0.6042,0.3282,0.1422,0.147,7
0.611,0.486,0.159,1.1409,0.5168,0.2144,0.341,10
0.609,0.469,0.156,1.2252,0.5716,0.2591,0.301,9
0.523,0.443,0.146,0.911,0.2618,0.1799,0.319,23
0.266,0.197,0.072,0.1103,0.0376,0.0223,0.039,11
0.164,0.113,0.037,0.0116,0.0139,0.0023,0.008,4
0.713,0.571,0.195,1.3614,0.568,0.3303,0.404,15
0.454,0.357,0.124,0.7584,0.2682,0.1634,0.273,8
0.54,0.421,0.106,0.8278,0.2972,0.1972,0.241,9
0.719,0.544,0.228,1.5843,0.7438,0.3003,0.435,17
0.618,0.473,0.147,1.0498,0.3956,0.2773,0.281,11
0.48,0.387,0.126,0.7699,0.4222,0.1584,0.167,8
0.64,0.499,0.147,1.2677,0.5024,0.3162,0.331,11
0.633,0.493,0.171,1.3348,0.663,0.2935,0.341,11
0.626,0.491,0.175,1.2108,0.5071,0.2297,0.378,15
0.699,0.548,0.208,1.5292,0.6661,0.3151,0.411,22
0.325,0.27,0.115,0.3145,0.1829,0.0651,0.112,5
0.361,0.267,0.082,0.1908,0.1419,0.0376,0.043,6
0.469,0.383,0.114,1.0622,0.4248,0.2331,0.297,10
0.461,0.337,0.106,0.2187,0.0964,0.0521,0.057,9
0.461,0.383,0.126,0.6002,0.2978,0.1229,0.124,9
0.563,0.463,0.124,0.7488,0.3197,0.2041,0.168,7
0.642,0.503,0.191,1.5887,0.6581,0.3373,0.493,16
0.67,0.542,0.189,1.7449,0.7438,0.382,0.454,9
0.447,0.371,0.099,0.3728,0.1942,0.0624,0.089,8
0.441,0.361,0.126,0.5655,0.2658,0.1136,0.149,8
0.638,0.511,0.173,1.1925,0.5517,0.3055,0.31,10
0.517,0.402,0.14,0.5724,0.1735,0.1356,0.247,11
0.501,0.39,0.139,0.8309,0.4506,0.1623,0.218,8
0.201,0.162,0.066,0.0235,0.001,0.008,0.032,11
0.476,0.353,0.145,0.4937,0.1654,0.0618,0.245,14
0.439,0.342,0.131,0.3825,0.16,0.108,0.099,7
0.277,0.223,0.114,0.2092,0.035,0.0503,0.139,8
0.578,0.443,0.167,1.2262,0.6458,0.2691,0.269,10
0.628,0.494,0.189,1.4472,0.6428,0.3882,0.351,8
0.627,0.488,0.144,1.3033,0.5806,0.2584,0.403,12
0.761,0.602,0.219,2.2778,0.9938,0.4254,0.638,17
0.533,0.421,0.125,0.9646,0.3411,0.1945,0.354,10
0.618,0.471,0.168,1.3634,0.6655,0.303,0.365,9
0.468,0.388,0.128,0.5674,0.1267,0.125,0.275,17
0.596,0.468,0.155,1.372,0.6309,0.2796,0.322,16
0.356,0.289,0.092,0.1793,0.0942,0.0327,0.067,5
0.454,0.325,0.096,0.1605,0.0686,0.024,0.076,12
0.641,0.506,0.207,1.2047,0.426,0.2541,0.44,13
0.48,0.395,0.157,0.8526,0.2939,0.2109,0.25,7
0.444,0.341,0.114,0.5333,0.2117,0.129,0.15,10
0.63,0.512,0.173,1.5638,0.6391,0.3224,0.453,14
0.367,0.252,0.074,0.1739,0.067,0.0436,0.07,10
0.341,0.236,0.07,0.2372,0.1344,0.0378,0.067,6
0.55,0.448,0.13,0.8869,0.2639,0.2149,0.279,8
0.537,0.432,0.164,0.5526,0.1796,0.156,0.186,8
0.478,0.377,0.117,0.5189,0.185,0.0937,0.213,13
0.367,0.306,0.113,0.4243,0.155,0.0935,0.135,11
0.53,0.421,0.103,0.5644,0.2308,0.0886,0.201,10
0.615,0.479,0.16,1.071,0.5455,0.2229,0.274,10
0.591,0.451,0.183,0.9812,0.4504,0.2163,0.263,8
0.705,0.553,0.199,1.8063,0.6832,0.4038,0.559,12
0.59,0.47,0.178,0.9676,0.3859,0.1953,0.314,11
0.467,0.385,0.117,0.4141,0.113,0.0764,0.218,10
0.345,0.248,0.064,0.1096,0.0296,0.038,0.049,8
0.573,0.441,0.149,0.9551,0.3391,0.2842,0.275,11
0.43,0.334,0.068,0.1693,0.1529,0.0229,0.035,3
0.466,0.368,0.104,0.4177,0.1513,0.0626,0.171,10
0.405,0.284,0.073,0.2261,0.1058,0.071,0.059,7
0.55,0.438,0.141,0.9752,0.4125,0.1715,0.272,11
0.721,0.571,0.169,2.2552,0.9024,0.5427,0.606,12
0.519,0.421,0.123,0.5353,0.1654,0.1399,0.158,15
0.433,0.345,0.121,0.5687,0.2312,0.1448,0.143,10
0.368,0.284,0.141,0.3249,0.103,0.0855,0.156,9
0.53,0.409,0.156,0.6335,0.224,0.1201,0.227,10
0.6,0.469,0.121,1.342,0.6626,0.29,0.296,8
0.311,0.223,0.04,0.1952,0.12,0.0252,0.053,6
0.624,0.491,0.156,1.1003,0.4345,0.2218,0.321,9
0.386,0.271,0.094,0.3313,0.1436,0.0823,0.094,10
0.496,0.39,0.132,0.5198,0.2526,0.1095,0.123,8
0.673,0.541,0.217,1.41,0.5147,0.3142,0.478,21
0.315,0.224,0.076,0.1062,0.0565,0.0241,0.029,10
0.449,0.354,0.126,0.3754,0.116,0.1001,0.118,10
0.446,0.342,0.125,0.3249,0.2034,0.0743,0.059,9
0.28,0.203,0.047,0.0484,0.0263,0.003,0.023,8
0.636,0.489,0.17,0.845,0.3231,0.2073,0.226,12
0.623,0.489,0.174,1.3411,0.5298,0.2415,0.473,15
0.3,0.219,0.061,0.1465,0.0512,0.0301,0.062,10
0.344,0.283,0.138,0.3548,0.1637,0.0988,0.099,7
0.547,0.421,0.136,0.7534,0.3284,0.1888,0.179,7
0.551,0.444,0.176,0.869,0.363,0.1579,0.277,13
0.618,0.489,0.155,1.0438,0.4563,0.2025,0.311,10
0.425,0.341,0.157,0.4004,0.1345,0.1119,0.118,9
0.58,0.434,0.157,0.9732,0.5237,0.2272,0.184,7
0.414,0.345,0.085,0.3489,0.1631,0.1119,0.064,7
0.51,0.387,0.179,0.79,0.2142,0.1573,0.3,18
0.446,0.329,0.134,0.3301,0.1975,0.048,0.134,7
0.552,0.442,0.174,0.8735,0.3278,0.199,0.245,11
