X2,X3,X4,X5,X6,X7,X8,X9
0.271,0.205,0.099,0.176,0.094,0.034,0.051,8.0
0.623,0.495,0.182,1.316,0.544,0.337,0.361,14.142
0.432,0.308,0.085,0.407,0.168,0.143,0.097,7.0
0.322,0.234,0.075,0.099,0.019,0.018,0.077,9.0
0.612,0.488,0.132,1.303,0.591,0.273,0.339,9.0
0.629,0.501,0.166,1.298,0.559,0.247,0.403,11.565
0.256,0.177,0.078,0.164,0.066,0.044,0.055,4.764
0.596,0.463,0.172,1.25,0.548,0.3,0.336,13.794
0.489,0.366,0.138,0.32,0.18,0.088,0.061,8.0
0.551,0.429,0.15,0.935,0.498,0.213,0.215,8.0
0.548,0.435,0.132,0.537,0.214,0.178,0.143,9.0
0.698,0.563,0.195,1.553,0.497,0.335,0.523,19.08
0.623,0.486,0.181,1.334,0.656,0.293,0.344,8.0
0.452,0.33,0.104,0.425,0.19,0.101,0.113,10.0
0.71,0.561,0.187,1.651,0.744,0.33,0.466,15.344
0.744,0.584,0.183,2.568,1.432,0.516,0.67,11.202
0.551,0.445,0.122,0.929,0.477,0.156,0.266,10.0
0.229,0.155,0.065,0.135,0.078,0.03,0.045,7.0
0.482,0.374,0.156,0.458,0.154,0.098,0.238,7.0
0.522,0.404,0.127,0.586,0.23,0.131,0.173,9.0
0.405,0.295,0.103,0.308,0.185,0.052,0.074,10.0
0.615,0.472,0.135,1.159,0.523,0.26,0.304,8.0
0.429,0.374,0.15,0.338,0.082,0.084,0.147,12.842
0.377,0.314,0.096,0.25,0.126,0.052,0.091,10.0
0.605,0.476,0.184,1.455,0.559,0.306,0.474,12.147
0.702,0.539,0.222,2.065,0.972,0.516,0.498,11.367
0.478,0.359,0.08,0.707,0.353,0.093,0.233,7.0
0.559,0.421,0.18,0.973,0.349,0.212,0.303,15.29
0.632,0.499,0.141,1.144,0.488,0.259,0.289,11.0
0.458,0.38,0.138,0.375,0.186,0.076,0.104,9.0
0.72,0.568,0.214,1.696,0.721,0.322,0.496,14.56
0.57,0.418,0.13,0.82,0.442,0.19,0.159,10.0
0.384,0.301,0.086,0.177,0.051,0.042,0.128,10.0
0.726,0.58,0.185,1.846,0.813,0.451,0.443,11.0
0.552,0.45,0.152,0.992,0.321,0.255,0.31,14.264
0.444,0.334,0.167,0.475,0.247,0.081,0.133,6.0
0.334,0.251,0.117,0.185,0.092,0.044,0.049,9.0
0.479,0.373,0.085,0.69,0.297,0.171,0.207,10.0
0.592,0.463,0.161,1.059,0.382,0.233,0.323,9.0
0.48,0.328,0.111,0.52,0.284,0.125,0.116,6.574
0.722,0.565,0.215,1.721,0.618,0.38,0.599,19.021
0.599,0.492,0.156,1.19,0.481,0.204,0.369,16.152
0.674,0.528,0.183,1.469,0.592,0.316,0.43,11.0
0.651,0.516,0.181,1.176,0.494,0.229,0.356,14.491
0.65,0.508,0.136,1.196,0.461,0.232,0.395,15.726
0.368,0.307,0.097,0.193,0.066,0.045,0.083,8.0
0.708,0.57,0.222,1.594,0.576,0.322,0.517,18.041
0.45,0.347,0.115,0.652,0.25,0.205,0.154,7.0
0.55,0.45,0.152,1.195,0.559,0.283,0.304,9.0
0.46,0.335,0.087,0.16,0.093,0.037,0.037,7.0
0.684,0.543,0.181,1.491,0.651,0.297,0.427,14.666
0.574,0.458,0.151,0.782,0.306,0.17,0.249,8.0
0.283,0.202,0.051,0.117,0.043,0.026,0.044,7.0
0.44,0.342,0.118,0.548,0.182,0.116,0.187,9.0
0.531,0.44,0.161,0.927,0.333,0.203,0.302,11.0
0.594,0.465,0.112,0.786,0.298,0.154,0.271,10.0
0.591,0.473,0.154,1.459,0.632,0.277,0.473,11.797
0.44,0.36,0.134,0.519,0.288,0.084,0.124,7.0
0.591,0.448,0.17,0.945,0.468,0.229,0.243,6.0
0.647,0.51,0.167,1.694,0.715,0.377,0.441,11.0
0.225,0.161,0.062,0.085,0.038,0.022,0.034,6.0
0.503,0.388,0.148,0.629,0.276,0.093,0.236,10.0
0.6,0.454,0.171,1.024,0.362,0.235,0.333,12.904
0.648,0.516,0.164,1.25,0.488,0.23,0.411,22.12
0.527,0.435,0.138,0.561,0.281,0.189,0.12,7.0
0.639,0.509,0.223,1.119,0.466,0.248,0.344,11.571
0.648,0.49,0.164,1.169,0.495,0.284,0.34,10.0
0.513,0.401,0.099,0.942,0.318,0.225,0.304,14.489
0.292,0.221,0.096,0.303,0.175,0.061,0.092,8.0
0.53,0.449,0.181,1.157,0.501,0.229,0.352,12.156
0.568,0.45,0.169,0.809,0.289,0.192,0.265,11.0
0.606,0.47,0.156,1.248,0.646,0.213,0.327,6.0
0.668,0.531,0.211,1.689,0.723,0.365,0.493,11.0
0.308,0.207,0.098,0.137,0.046,0.037,0.082,9.0
0.315,0.231,0.086,0.228,0.125,0.079,0.06,8.0
0.647,0.511,0.16,1.301,0.597,0.256,0.384,11.0
0.414,0.313,0.125,0.411,0.157,0.134,0.13,9.0
0.445,0.356,0.156,0.702,0.281,0.196,0.173,9.0
0.571,0.453,0.138,0.76,0.319,0.143,0.268,12.147
0.654,0.507,0.212,1.375,0.61,0.272,0.394,16.322
0.49,0.381,0.141,0.669,0.241,0.129,0.213,9.0
0.591,0.458,0.171,0.914,0.453,0.225,0.243,9.0
0.705,0.577,0.225,1.848,0.83,0.371,0.507,14.799
0.485,0.395,0.173,0.708,0.321,0.119,0.193,8.0
0.618,0.479,0.15,0.982,0.367,0.24,0.322,10.0
0.646,0.499,0.168,1.362,0.64,0.266,0.399,11.0
0.302,0.242,0.085,0.146,0.046,0.032,0.079,11.0
0.574,0.454,0.163,0.849,0.373,0.228,0.203,6.0
0.485,0.362,0.147,0.696,0.244,0.151,0.186,9.0
0.371,0.309,0.089,0.419,0.197,0.149,0.092,7.0
0.463,0.382,0.13,0.574,0.242,0.148,0.145,11.0
0.678,0.531,0.208,1.495,0.654,0.323,0.393,11.0
0.475,0.365,0.153,0.585,0.268,0.112,0.187,8.0
0.359,0.259,0.129,0.275,0.156,0.064,0.062,8.0
0.748,0.597,0.229,2.003,0.787,0.419,0.667,17.884
0.656,0.526,0.205,1.254,0.58,0.303,0.312,10.0
0.636,0.505,0.19,1.373,0.584,0.291,0.393,13.381
0.34,0.263,0.092,0.382,0.136,0.058,0.122,9.0
0.42,0.338,0.121,0.258,0.097,0.061,0.103,9.0
0.633,0.505,0.149,1.172,0.582,0.229,0.309,10.0
0.193,0.153,0.085,0.101,0.057,0.033,0.019,6.0
0.388,0.315,0.123,0.333,0.065,0.075,0.197,9.0
0.552,0.426,0.151,0.603,0.123,0.152,0.269,14.372
0.609,0.462,0.165,1.013,0.515,0.278,0.201,8.0
0.486,0.405,0.139,0.42,0.101,0.119,0.191,11.0
0.647,0.502,0.157,0.986,0.482,0.257,0.188,10.0
0.583,0.453,0.151,0.887,0.325,0.233,0.267,7.0
0.6,0.477,0.127,0.791,0.308,0.233,0.204,11.0
0.44,0.364,0.129,0.366,0.138,0.084,0.151,9.0
0.23,0.197,0.113,0.152,0.063,0.041,0.056,6.0
0.527,0.397,0.134,0.909,0.378,0.226,0.226,9.0
0.444,0.352,0.087,0.601,0.295,0.139,0.151,4.451
0.303,0.24,0.07,0.092,0.037,0.027,0.032,10.0
0.499,0.385,0.156,0.329,0.171,0.102,0.076,8.0
