age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,education,workclass,native-country,race
45,164911,12,4963,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,Some-college,Private,United-States,White
61,234287,9,0,0,40,Married-civ-spouse,Wife,Female,Handlers-cleaners,Assoc-acdm,State-gov,India,Black
41,34157,5,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,Masters,Self-emp-not-inc,United-States,White
25,58499,14,0,0,26,Married-civ-spouse,Husband,Male,Transport-moving,Bachelors,Private,United-States,White
30,189576,8,0,0,40,Divorced,Not-in-family,Male,Craft-repair,HS-grad,Private,United-States,White
29,417443,10,0,0,25,Never-married,Not-in-family,Male,Craft-repair,HS-grad,Private,United-States,White
40,32920,8,0,0,40,Divorced,Not-in-family,Male,Craft-repair,HS-grad,Private,United-States,White
36,154844,6,0,0,47,Married-civ-spouse,Husband,Male,Handlers-cleaners,Assoc-acdm,Local-gov,United-States,White
42,37934,10,0,0,45,Separated,Not-in-family,Female,Sales,Bachelors,Private,United-States,White
52,261109,9,0,0,49,Never-married,Own-child,Female,Sales,Masters,Self-emp-not-inc,United-States,White
31,168049,9,0,0,51,Married-civ-spouse,Husband,Male,Craft-repair,HS-grad,Private,United-States,White
36,286712,10,0,0,60,Married-civ-spouse,Wife,Female,Priv-house-serv,7th-8th,Federal-gov,Italy,Black
37,367761,2,0,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,Assoc-voc,Local-gov,United-States,White
38,32250,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
26,141044,13,0,0,45,Never-married,Not-in-family,Male,Craft-repair,HS-grad,Private,United-States,White
38,280049,9,0,0,20,Married-civ-spouse,Husband,Male,Craft-repair,HS-grad,Private,United-States,White
41,195561,10,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
33,110367,9,0,1719,40,Never-married,Own-child,Male,Sales,Some-college,Private,United-States,White
41,172523,4,0,0,72,Married-civ-spouse,Husband,Male,Prof-specialty,Some-college,Private,United-States,White
35,200709,10,0,0,45,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
49,97926,14,0,0,83,Married-civ-spouse,Husband,Male,Transport-moving,Bachelors,Private,United-States,White
24,135590,10,0,0,40,Never-married,Not-in-family,Male,Craft-repair,Some-college,Private,United-States,White
