age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,education,workclass,native-country,race
23,199262,13,0,0,40,Never-married,Not-in-family,Female,Prof-specialty,Bachelors,Private,United-States,White
28,248518,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,Portugal,White
28,303074,11,0,0,24,Never-married,Own-child,Male,Prof-specialty,Bachelors,Private,United-States,White
35,104155,9,0,0,35,Married-civ-spouse,Husband,Male,Exec-managerial,Some-college,Private,United-States,White
31,220960,10,0,0,49,Married-civ-spouse,Husband,Male,Machine-op-inspct,HS-grad,Private,United-States,White
40,95921,14,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Some-college,Federal-gov,United-States,White
36,383516,9,0,0,60,Divorced,Not-in-family,Female,Adm-clerical,HS-grad,Private,United-States,Asian-Pac-Islander
19,190917,9,0,0,20,Never-married,Own-child,Female,Other-service,HS-grad,Private,United-States,White
30,213858,10,0,1897,40,Never-married,Own-child,Female,Sales,Some-college,Private,United-States,White
45,288322,10,0,0,45,Married-civ-spouse,Husband,Male,Exec-managerial,Masters,Private,United-States,White
32,225781,9,0,0,40,Never-married,Unmarried,Female,Craft-repair,Assoc-acdm,Private,United-States,Black
27,129329,1,0,0,20,Never-married,Not-in-family,Female,Adm-clerical,Bachelors,Private,United-States,Other
46,104356,9,0,0,12,Married-civ-spouse,Husband,Male,Handlers-cleaners,HS-grad,Private,United-States,White
26,333284,13,4329,0,48,Married-civ-spouse,Husband,Male,Exec-managerial,Some-college,Private,United-States,White
30,175197,15,0,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,HS-grad,Federal-gov,United-States,White
25,406676,10,0,0,40,Never-married,Unmarried,Female,Adm-clerical,Some-college,Private,United-States,White
44,155732,6,0,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,HS-grad,Self-emp-not-inc,United-States,White
26,192185,9,0,0,13,Never-married,Not-in-family,Female,Adm-clerical,Bachelors,Private,United-States,White
24,102789,10,0,0,40,Never-married,Own-child,Male,Tech-support,Some-college,Federal-gov,United-States,White
54,35110,4,0,0,40,Married-civ-spouse,Husband,Male,Other-service,Masters,Private,United-States,Black
48,228690,9,0,0,40,Never-married,Unmarried,Female,Exec-managerial,Masters,Local-gov,United-States,White
25,234640,4,0,0,40,Never-married,Not-in-family,Male,Other-service,Bachelors,Private,United-States,White
27,121947,10,1944,0,40,Married-civ-spouse,Husband,Male,Transport-moving,HS-grad,Private,Mexico,White
36,163732,9,0,1905,40,Married-civ-spouse,Husband,Male,Sales,1st-4th,Federal-gov,United-States,White
75,37728,14,0,0,40,Married-civ-spouse,Husband,Male,Farming-fishing,11th,Self-emp-not-inc,United-States,Black
65,222157,10,0,0,49,Widowed,Not-in-family,Female,Adm-clerical,Some-college,Private,United-States,White
29,196781,10,0,0,45,Never-married,Not-in-family,Male,Exec-managerial,Masters,Private,United-States,White
45,265376,9,0,0,40,Divorced,Not-in-family,Male,Exec-managerial,Bachelors,Private,United-States,White
21,335457,9,0,0,40,Never-married,Other-relative,Male,Exec-managerial,Some-college,Private,United-States,White
53,243900,13,0,0,47,Married-civ-spouse,Husband,Male,Transport-moving,Masters,Private,United-States,White
29,205899,10,0,0,70,Never-married,Own-child,Male,Sales,Some-college,Local-gov,United-States,Black
45,32458,9,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,9th,Private,United-States,White
59,237530,9,0,0,49,Married-civ-spouse,Husband,Male,Other-service,Assoc-acdm,Private,Guatemala,White
56,93232,10,0,0,60,Married-civ-spouse,Husband,Male,Exec-managerial,10th,Private,United-States,White
52,59023,13,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,Self-emp-not-inc,United-States,Other
40,229890,10,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,HS-grad,Private,United-States,White
31,250491,13,0,0,11,Married-civ-spouse,Husband,Male,Other-service,Assoc-voc,Self-emp-inc,United-States,White
36,207414,12,14904,0,53,Divorced,Unmarried,Female,Adm-clerical,Some-college,Private,United-States,White
38,193343,13,0,0,47,Married-civ-spouse,Husband,Male,Transport-moving,7th-8th,Private,Vietnam,Asian-Pac-Islander
55,241125,1,0,0,47,Divorced,Own-child,Male,Other-service,11th,Private,United-States,White
36,190784,10,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,HS-grad,Self-emp-not-inc,United-States,White
37,331374,9,0,0,45,Never-married,Own-child,Male,Farming-fishing,9th,Private,United-States,White
33,377572,9,0,0,46,Married-civ-spouse,Husband,Male,Machine-op-inspct,HS-grad,Private,United-States,White
48,281318,9,0,0,60,Married-civ-spouse,Husband,Male,Handlers-cleaners,Bachelors,Self-emp-inc,United-States,White
34,385608,9,0,0,29,Married-civ-spouse,Husband,Male,Craft-repair,Prof-school,Private,United-States,White
24,331536,9,0,0,20,Never-married,Own-child,Male,Exec-managerial,HS-grad,Private,United-States,White
47,258679,6,0,0,40,Never-married,Not-in-family,Female,Sales,Bachelors,Federal-gov,United-States,White
34,112908,9,0,0,40,Never-married,Not-in-family,Female,Adm-clerical,Assoc-voc,Private,United-States,White
42,35988,10,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,Private,United-States,White
21,235069,13,0,0,40,Never-married,Not-in-family,Female,Handlers-cleaners,HS-grad,Private,United-States,White
49,190168,14,0,0,40,Divorced,Not-in-family,Male,Exec-managerial,Masters,Self-emp-not-inc,United-States,White
61,234095,3,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,HS-grad,Private,United-States,White
53,143839,14,0,0,52,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,Local-gov,United-States,White
59,145987,13,0,0,47,Never-married,Own-child,Male,Craft-repair,Masters,Self-emp-not-inc,United-States,Black
43,188995,9,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Some-college,Private,United-States,White
62,119511,7,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,HS-grad,Private,United-States,White
22,370209,5,0,0,40,Married-civ-spouse,Husband,Male,Sales,HS-grad,Private,United-States,White
40,224340,9,0,0,29,Married-civ-spouse,Husband,Male,Farming-fishing,Bachelors,Self-emp-not-inc,United-States,White
40,342637,12,0,0,36,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,Local-gov,United-States,White
32,212310,13,0,0,20,Never-married,Not-in-family,Female,Other-service,HS-grad,Private,United-States,White
38,318753,13,0,0,40,Married-civ-spouse,Wife,Female,Protective-serv,1st-4th,Self-emp-inc,United-States,White
39,565669,13,8045,2396,51,Married-civ-spouse,Husband,Male,Adm-clerical,Assoc-voc,Private,United-States,White
52,167240,9,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,Some-college,Self-emp-inc,United-States,White
23,101767,13,0,0,40,Never-married,Not-in-family,Male,Craft-repair,HS-grad,Private,United-States,White
28,165894,10,0,0,54,Married-civ-spouse,Husband,Male,Other-service,HS-grad,State-gov,United-States,White
35,46544,9,99999,0,51,Married-civ-spouse,Wife,Female,Prof-specialty,12th,Private,United-States,White
38,328832,13,0,0,60,Married-civ-spouse,Husband,Male,Tech-support,Bachelors,Private,United-States,White
51,108590,13,8256,0,40,Never-married,Own-child,Female,Prof-specialty,Some-college,Federal-gov,United-States,White
17,276010,3,0,0,49,Never-married,Own-child,Female,Prof-specialty,HS-grad,Private,United-States,White
44,226905,13,0,0,40,Married-civ-spouse,Husband,Male,Other-service,Assoc-voc,Private,United-States,White
24,187800,7,0,0,26,Married-civ-spouse,Husband,Male,Sales,Some-college,Private,United-States,White
19,343200,6,0,0,27,Never-married,Own-child,Female,Other-service,Assoc-voc,Private,United-States,White
60,253728,3,0,0,40,Married-civ-spouse,Wife,Female,Sales,Bachelors,Self-emp-inc,United-States,White
25,93744,9,0,0,45,Never-married,Other-relative,Male,Farming-fishing,HS-grad,Private,United-States,White
63,119488,9,0,0,60,Separated,Not-in-family,Female,Adm-clerical,HS-grad,Private,United-States,White
45,266491,9,0,0,40,Widowed,Unmarried,Female,Other-service,HS-grad,Federal-gov,United-States,White
46,321226,14,0,0,40,Widowed,Not-in-family,Male,Transport-moving,Some-college,Private,United-States,White
27,161255,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
30,123267,10,0,0,40,Never-married,Own-child,Female,Prof-specialty,Masters,Self-emp-not-inc,United-States,White
19,116670,13,0,0,40,Never-married,Own-child,Male,Sales,HS-grad,Private,United-States,White
37,306208,13,0,0,75,Widowed,Other-relative,Male,Other-service,HS-grad,Local-gov,United-States,White
23,205263,13,0,0,45,Married-civ-spouse,Husband,Male,Handlers-cleaners,HS-grad,Private,United-States,White
35,44443,10,0,1602,35,Married-civ-spouse,Husband,Male,Craft-repair,Assoc-acdm,Self-emp-inc,United-States,White
35,124980,10,0,0,21,Divorced,Own-child,Male,Craft-repair,HS-grad,Private,United-States,White
38,305412,14,0,0,48,Never-married,Own-child,Male,Transport-moving,HS-grad,State-gov,United-States,White
52,78017,13,0,0,35,Married-civ-spouse,Husband,Male,Craft-repair,Doctorate,Self-emp-inc,United-States,White
32,54591,9,0,0,20,Never-married,Not-in-family,Female,Adm-clerical,HS-grad,Private,United-States,White
32,71603,11,0,0,28,Married-civ-spouse,Husband,Male,Craft-repair,Masters,Private,United-States,White
59,111588,9,0,0,71,Divorced,Unmarried,Female,Prof-specialty,Some-college,Private,United-States,White
45,196223,9,0,0,32,Divorced,Own-child,Female,Exec-managerial,Assoc-voc,Private,United-States,White
64,211931,10,0,0,40,Divorced,Unmarried,Female,Other-service,HS-grad,Private,United-States,White
55,22810,10,0,0,36,Married-civ-spouse,Husband,Male,Sales,HS-grad,Private,United-States,Black
33,102850,15,0,0,40,Never-married,Unmarried,Female,Sales,10th,Self-emp-not-inc,United-States,White
47,197386,10,0,0,42,Married-civ-spouse,Husband,Male,Machine-op-inspct,HS-grad,Private,United-States,White
42,55754,9,0,0,70,Divorced,Own-child,Male,Sales,HS-grad,Private,United-States,White
31,94923,10,0,0,34,Never-married,Own-child,Male,Prof-specialty,Assoc-acdm,Private,United-States,White
34,159691,13,0,0,38,Married-civ-spouse,Husband,Male,Other-service,Some-college,Self-emp-inc,Mexico,Other
21,146591,13,0,2378,40,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,State-gov,United-States,White
23,90545,10,0,0,50,Never-married,Unmarried,Female,Prof-specialty,HS-grad,Private,United-States,White
40,255387,11,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
48,146131,10,0,0,60,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,State-gov,United-States,White
44,197233,13,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Bachelors,Private,United-States,White
23,147004,4,0,0,60,Married-civ-spouse,Wife,Female,Exec-managerial,10th,Private,Mexico,White
43,224372,10,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Assoc-acdm,Private,United-States,White
50,193576,9,99999,0,40,Married-civ-spouse,Husband,Male,Other-service,HS-grad,Federal-gov,United-States,White
33,211022,14,3474,0,50,Married-civ-spouse,Husband,Male,Exec-managerial,Bachelors,Federal-gov,United-States,White
34,219669,13,0,0,45,Divorced,Not-in-family,Male,Prof-specialty,Some-college,Private,Puerto-Rico,White
24,269853,14,0,0,20,Separated,Own-child,Male,Farming-fishing,10th,Private,United-States,White
43,132309,10,1395,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,7th-8th,Private,United-States,White
57,167665,15,0,1902,82,Never-married,Not-in-family,Male,Transport-moving,HS-grad,Federal-gov,United-States,White
51,235446,11,0,1977,45,Married-civ-spouse,Wife,Female,Machine-op-inspct,Some-college,Local-gov,United-States,White
31,118122,6,0,0,40,Married-civ-spouse,Wife,Female,Sales,11th,Private,United-States,Black
17,207410,10,0,0,51,Never-married,Own-child,Female,Other-service,Some-college,Self-emp-not-inc,United-States,Asian-Pac-Islander
49,174028,11,0,0,37,Married-spouse-absent,Own-child,Male,Craft-repair,Some-college,Local-gov,United-States,White
37,428427,10,0,0,40,Married-civ-spouse,Wife,Female,Machine-op-inspct,Bachelors,Private,United-States,White
29,219150,9,0,0,40,Never-married,Own-child,Female,Adm-clerical,Masters,Private,United-States,White
51,196621,14,0,0,51,Married-civ-spouse,Husband,Male,Handlers-cleaners,Some-college,Local-gov,United-States,White
36,388762,9,8170,0,40,Married-spouse-absent,Unmarried,Female,Other-service,Masters,Private,United-States,White
41,110578,9,0,0,40,Divorced,Unmarried,Male,Transport-moving,HS-grad,Private,United-States,White
35,178931,10,0,0,45,Married-spouse-absent,Unmarried,Male,Craft-repair,Masters,Private,United-States,White
56,156693,8,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,HS-grad,State-gov,United-States,White
20,371478,10,0,0,40,Never-married,Own-child,Female,Adm-clerical,Bachelors,Private,United-States,White
17,196101,13,0,0,49,Never-married,Own-child,Male,Machine-op-inspct,Some-college,Private,United-States,White
33,184772,11,0,0,70,Divorced,Unmarried,Female,Adm-clerical,HS-grad,Private,United-States,White
59,227826,13,99999,0,45,Married-civ-spouse,Wife,Female,Adm-clerical,Masters,Self-emp-not-inc,United-States,White
22,275858,9,0,0,40,Never-married,Own-child,Male,Prof-specialty,Some-college,Private,United-States,White
35,192700,7,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,Private,United-States,Black
28,188901,10,0,0,40,Never-married,Not-in-family,Male,Other-service,HS-grad,Local-gov,United-States,White
21,165060,10,0,0,40,Never-married,Other-relative,Male,Machine-op-inspct,HS-grad,Private,United-States,White
45,288429,4,0,0,40,Married-civ-spouse,Husband,Male,Tech-support,HS-grad,Self-emp-not-inc,United-States,White
64,38272,4,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Bachelors,Self-emp-inc,United-States,White
62,35259,9,0,0,52,Married-civ-spouse,Husband,Male,Adm-clerical,HS-grad,Private,United-States,White
50,623898,5,0,0,40,Never-married,Own-child,Female,Exec-managerial,HS-grad,Local-gov,United-States,White
48,27205,10,0,0,36,Divorced,Not-in-family,Female,Prof-specialty,Some-college,Private,United-States,White
29,297022,13,0,0,40,Divorced,Unmarried,Female,Prof-specialty,HS-grad,Private,United-States,White
27,57233,9,0,0,43,Never-married,Not-in-family,Male,Sales,Bachelors,Private,El-Salvador,White
21,106656,13,0,0,46,Never-married,Other-relative,Male,Prof-specialty,Some-college,Private,United-States,Black
30,434557,13,3947,0,25,Married-civ-spouse,Husband,Male,Handlers-cleaners,HS-grad,Private,United-States,White
36,326529,13,0,0,60,Divorced,Not-in-family,Male,Machine-op-inspct,Masters,Private,United-States,White
24,39967,9,0,0,45,Married-civ-spouse,Husband,Male,Handlers-cleaners,12th,Private,United-States,White
34,231652,13,0,0,49,Never-married,Own-child,Male,Prof-specialty,Some-college,Private,United-States,White
53,177145,10,0,0,40,Never-married,Own-child,Male,Sales,HS-grad,Private,United-States,Black
65,34597,9,0,0,53,Married-civ-spouse,Wife,Female,Prof-specialty,Some-college,Private,United-States,White
26,340824,9,0,0,40,Divorced,Unmarried,Female,Exec-managerial,Some-college,Private,United-States,Black
44,186686,9,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,10th,Private,United-States,White
39,244838,13,0,0,48,Married-civ-spouse,Husband,Male,Other-service,Masters,Private,United-States,White
