X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,X4 latitude,X5 longitude,Y6 house price of unit area
7.3,2301.1149,1,24.96729,121.51465,39.2
16.0,516.3184,6,24.97674,121.53302,32.6
12.9,158.7297,7,24.97549,121.54773,62.3
11.2,304.8741,9,24.98613,121.54209,68.9
13.5,1718.2603,1,24.95772,121.51319,24.0
17.3,491.6102,0,24.94587,121.54253,29.6
34.1,215.6806,3,24.9788,121.54031,44.3
13.4,266.8124,5,24.97452,121.539,49.7
17.7,962.9954,6,24.96374,121.53679,35.1
28.8,331.6621,6,24.96152,121.54971,40.1
4.3,414.0082,0,24.96848,121.53875,46.0
0.9,2115.0977,0,24.96957,121.53651,36.5
19.3,539.5285,3,24.96223,121.54267,52.9
40.1,23.3828,9,24.97521,121.56627,39.5
13.5,520.7725,1,24.95372,121.53739,38.2
4.0,4503.8145,0,24.94109,121.53115,23.2
13.1,599.5803,6,24.9787,121.51628,57.6
17.3,1397.8009,5,24.96319,121.51271,33.4
33.2,1256.2666,0,24.95188,121.52739,21.3
17.0,295.9487,0,24.96258,121.54367,41.8
4.9,385.2431,5,24.95522,121.54497,55.4
34.9,399.3081,7,24.96639,121.53909,41.2
12.1,256.4681,3,24.98112,121.53996,27.6
12.7,222.1349,4,24.96322,121.54973,52.1
30.3,411.625,4,24.97546,121.54298,40.3
3.0,1723.2389,5,24.95558,121.51108,36.0
13.3,610.9678,5,24.95491,121.53914,30.7
25.4,573.7934,4,24.97525,121.51347,25.4
8.8,2168.1344,1,24.95554,121.504,28.7
3.7,2314.5629,3,24.96279,121.52327,28.1
13.1,4177.8993,0,24.96621,121.51668,14.5
2.2,2978.9005,5,24.95767,121.51234,32.3
8.9,3894.8957,0,24.96353,121.51304,43.9
29.0,206.7086,4,24.97683,121.5441,42.1
9.6,4069.5774,0,24.95233,121.504,14.4
33.8,310.5646,5,24.97157,121.53855,47.7
16.8,415.7752,7,24.98415,121.53828,56.9
16.1,1373.4057,1,24.96366,121.54376,23.9
4.2,190.1807,7,24.98174,121.54459,46.1
33.5,4529.861,0,24.96357,121.51629,33.7
0.6,2045.7593,0,24.9662,121.53729,37.4
31.8,1302.8589,4,24.97597,121.53455,16.3
10.6,558.8559,4,24.95522,121.53589,36.1
29.7,4038.9081,0,24.94203,121.51715,23.4
13.7,4610.1702,0,24.94206,121.504,27.2
13.6,243.9613,4,24.96269,121.53968,30.6
4.5,338.6241,7,24.96587,121.54402,39.3
34.8,187.9543,8,24.97455,121.54361,40.8
5.0,488.9298,7,24.97416,121.53419,45.3
12.4,215.4194,7,24.95759,121.54417,41.9
34.9,398.3468,4,24.9799,121.54271,31.2
15.8,169.5651,7,24.97737,121.54275,42.5
0.5,260.7591,4,24.97732,121.5444,58.2
13.5,512.8883,0,24.95848,121.53764,30.2
7.2,362.3792,5,24.97304,121.54436,50.1
0.4,175.1723,9,24.98287,121.54853,117.5
26.9,449.0372,0,24.97297,121.53857,39.9
0.0,5512.7279,2,24.96167,121.496,42.0
13.5,1425.4721,8,24.97427,121.53704,42.1
13.8,4033.4753,4,24.96302,121.53564,17.4
39.5,148.8236,9,24.9731,121.54568,49.5
34.4,483.9814,0,24.98591,121.5388,34.5
28.2,57.8639,9,24.98563,121.54339,55.7
8.2,1267.1769,5,24.97654,121.54082,28.3
7.0,349.3693,3,24.97917,121.539,50.4
33.3,3982.2974,0,24.96633,121.51649,14.2
30.9,1624.7938,9,24.98119,121.53891,46.6
17.6,1017.6923,3,24.97493,121.52656,36.2
31.2,294.4241,9,24.97578,121.54493,39.9
26.2,299.1339,4,24.94714,121.53613,32.0
3.0,1810.483,8,24.97507,121.53069,45.9
28.9,474.6159,7,24.96859,121.54274,23.6
13.8,114.1133,9,24.97312,121.54954,53.4
38.6,125.2534,6,24.9775,121.55027,36.7
