X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,X4 latitude,X5 longitude,Y6 house price of unit area
19.0,23.3828,9,24.98683,121.56018,56.4
22.7,2295.8648,2,24.97779,121.496,27.9
7.1,1499.3873,3,24.98028,121.53926,43.6
30.6,23.3828,6,24.99004,121.55167,79.1
18.2,550.4938,4,24.9724,121.53757,29.4
20.3,438.5217,7,24.97336,121.53952,50.9
39.8,504.9528,0,24.97862,121.53953,37.7
17.1,2411.9438,1,24.95028,121.53553,22.4
7.1,71.4203,9,24.9851,121.54603,64.5
32.6,442.9014,2,24.98516,121.53933,47.7
38.4,509.6964,6,24.98145,121.54105,36.5
37.9,538.4941,7,24.97456,121.51566,37.0
35.5,4093.4437,5,24.94318,121.52798,15.0
33.9,4032.1462,4,24.96848,121.504,28.0
16.1,363.6601,3,24.98367,121.53664,40.1
36.2,1712.5669,5,24.95596,121.53732,29.0
5.2,4000.3736,1,24.94201,121.504,13.2
4.7,4018.8131,0,24.94914,121.51215,32.8
26.9,1957.5319,0,24.95671,121.53643,35.3
30.0,303.4609,5,24.96729,121.54265,29.0
3.7,338.3784,3,24.96486,121.54455,54.9
38.9,507.8977,0,24.98059,121.53459,19.1
18.4,320.3671,7,24.95591,121.54194,41.4
17.7,496.648,3,24.97446,121.54324,41.3
13.9,2254.35,1,24.96379,121.5406,41.8
2.4,1147.6549,0,24.95251,121.536,23.7
14.5,4200.9499,0,24.9552,121.51429,22.5
3.3,4459.9365,1,24.94245,121.51293,50.2
6.2,571.0009,1,24.98271,121.5412,37.9
2.6,334.0818,7,24.9712,121.53734,34.2
1.2,2979.7854,3,24.94237,121.51782,22.9
43.8,519.2916,3,24.97498,121.51759,39.4
6.5,226.4361,4,24.97761,121.5432,45.8
0.0,641.2006,2,24.97731,121.54013,37.3
15.4,465.8003,4,24.98112,121.53403,37.6
28.2,3463.7075,0,24.94593,121.52856,17.3
21.6,251.4899,5,24.98416,121.54116,48.7
0.9,340.3989,6,24.96275,121.54657,53.6
7.5,463.1224,9,24.97488,121.54289,62.8
5.0,668.8907,6,24.96281,121.53842,44.7
32.8,2610.4692,0,24.95134,121.53735,19.1
9.0,1182.5795,1,24.94052,121.53947,29.3
32.9,413.3037,2,24.97748,121.54398,25.3
18.3,5512.8004,2,24.95539,121.51212,26.7
31.4,315.9697,7,24.98333,121.54001,48.5
13.5,316.7134,5,24.97979,121.54505,44.0
10.3,4498.934,0,24.93207,121.47481,18.2
13.1,460.0805,2,24.98449,121.54119,48.6
28.1,1291.2605,6,24.98073,121.51455,46.5
34.0,23.3828,9,24.98108,121.56252,59.7
18.6,4023.1735,0,24.9536,121.53556,16.2
38.5,979.2464,5,24.97368,121.51386,30.9
33.5,1733.6948,0,24.9497,121.53575,14.2
31.7,419.013,5,24.96715,121.5377,55.6
16.7,137.4961,8,24.97887,121.53208,74.3
16.0,167.9899,9,24.9716,121.54778,50.2
4.1,174.9036,5,24.98589,121.54191,52.1
35.8,276.2091,6,24.98213,121.54508,37.4
12.7,1111.7126,8,24.97645,121.50938,25.1
36.4,2617.1729,1,24.94092,121.52536,14.1
5.2,1246.7978,5,24.96876,121.51632,39.1
18.3,463.2398,5,24.96746,121.53646,45.5
4.0,710.8273,1,24.97476,121.53152,46.7
35.0,2499.7091,0,24.9503,121.53366,16.3
9.3,984.4186,5,24.95901,121.54321,37.7
16.2,3861.5537,5,24.94254,121.51145,29.7
30.9,1411.4746,0,24.96435,121.53787,12.5
17.8,151.1103,8,24.97842,121.53558,54.0
15.4,323.0312,2,24.95664,121.54937,21.2
4.5,2666.2705,4,24.96708,121.52636,28.6
13.2,1035.5173,4,24.9702,121.51451,37.7
12.7,522.0186,2,24.96358,121.54578,41.8
15.4,2627.6868,0,24.95055,121.53057,13.9
26.6,137.3484,8,24.97188,121.54602,39.6
16.5,2832.0611,0,24.96626,121.51412,23.4
1.0,1676.5918,1,24.96963,121.51295,16.8
13.0,87.7212,9,24.97138,121.55191,52.7
16.3,559.2095,1,24.95947,121.51685,43.8
0.0,2104.9068,0,24.96828,121.504,39.5
13.1,227.1575,6,24.985,121.54025,42.2
22.9,176.8002,7,24.96388,121.54068,51.4
13.0,189.6687,3,24.98148,121.53702,30.1
13.6,2773.2779,0,24.94656,121.496,16.8
8.6,141.0196,8,24.98166,121.54996,61.9
1.0,381.9731,9,24.98451,121.53059,61.8
34.7,243.6112,5,24.96346,121.54309,43.3
4.5,141.0869,6,24.98007,121.54907,38.6
38.6,4513.6875,0,24.95202,121.496,12.4
11.6,1441.4199,3,24.9539,121.51687,16.6
4.3,499.2479,0,24.95497,121.54213,25.5
37.0,4271.9965,0,24.95345,121.51608,17.2
5.0,1084.1849,2,24.97206,121.53041,51.4
12.2,1646.4544,2,24.96141,121.504,24.7
2.8,2302.364,4,24.95564,121.51479,39.2
12.8,97.4401,8,24.97461,121.5547,60.9
30.1,149.1395,8,24.98128,121.5455,34.6
5.4,1664.9112,5,24.96708,121.496,23.1
0.5,73.3713,9,24.96563,121.54883,48.0
13.3,455.4534,2,24.98225,121.53909,35.6
29.9,261.9794,5,24.98237,121.53968,36.9
21.5,4094.7057,1,24.96774,121.51136,28.1
40.3,132.5574,5,24.97618,121.54606,41.5
35.3,389.211,5,24.97209,121.54557,41.9
1.5,342.3269,6,24.94269,121.54382,46.3
7.2,347.0631,6,24.97839,121.53846,41.7
17.6,123.7026,9,24.98387,121.54831,73.3
16.9,704.1131,0,24.97537,121.52682,45.6
17.9,347.1669,4,24.97739,121.54132,40.6
17.5,2955.4865,7,24.95377,121.504,23.7
14.4,1499.3197,3,24.96373,121.53003,37.9
28.3,327.7,0,24.9629,121.54791,22.6
28.6,274.8121,3,24.97972,121.54369,30.3
27.1,547.7196,4,24.95005,121.54247,23.6
14.0,362.0005,0,24.96654,121.54409,29.5
17.6,153.7929,7,24.97735,121.53885,45.3
13.9,844.2245,1,24.97372,121.53184,42.7
12.8,538.8285,0,24.98212,121.53016,34.2
3.1,5510.4381,0,24.95211,121.504,29.5
18.5,1032.3364,2,24.97204,121.53264,26.6
39.2,380.3106,6,24.96308,121.52708,37.2
2.6,523.5763,0,24.96892,121.53892,26.5
2.4,2170.9894,3,24.96902,121.504,31.9
37.1,6420.2866,2,24.97649,121.47983,13.2
0.4,155.145,5,24.96346,121.54398,47.8
10.9,580.6667,0,24.93473,121.5186,28.7
29.5,123.1273,9,24.97377,121.54345,64.9
5.5,125.6431,9,24.97364,121.55101,64.7
2.9,1716.4042,0,24.96235,121.54002,31.6
18.5,543.7185,4,24.97101,121.504,36.0
28.8,4493.1429,6,24.97345,121.51622,38.7
9.8,485.9763,8,24.98251,121.5386,54.0
30.9,583.9584,3,24.96031,121.53852,21.8
1.1,489.0528,1,24.97352,121.53891,40.1
8.0,203.9,8,24.97324,121.54258,46.6
16.3,425.1055,5,24.97535,121.53976,37.9
15.7,357.7602,6,24.97386,121.54482,38.9
14.9,4093.9647,6,24.95275,121.51298,38.0
13.6,327.1563,5,24.97886,121.54553,39.4
30.0,118.0166,9,24.99623,121.54404,54.2
17.3,4540.1412,5,24.94353,121.504,24.3
22.3,252.6529,8,24.97379,121.54319,39.2
17.9,478.9248,0,24.95584,121.54099,22.1
32.1,46.2307,4,24.98414,121.56307,55.8
2.3,364.0506,4,24.96507,121.5447,62.3
14.7,381.6039,3,24.96463,121.53755,29.6
10.4,200.9195,7,24.97863,121.53515,45.2
13.1,216.4804,3,24.97162,121.54986,40.4
22.4,1408.8612,4,24.96455,121.52517,29.9
15.7,50.7985,8,24.9796,121.54483,42.1
6.5,4560.5264,1,24.93995,121.504,29.4
0.7,257.4606,3,24.97992,121.54577,32.9
16.7,367.915,1,24.96441,121.54768,42.2
17.0,1162.4768,5,24.97626,121.50931,18.4
32.1,353.1985,3,24.98044,121.5377,36.6
16.6,2033.2741,6,24.96616,121.496,35.1
4.3,511.312,0,24.96595,121.54341,32.5
5.1,589.8251,0,24.9511,121.54473,29.4
35.4,145.4093,4,24.97422,121.54885,43.4
12.9,391.1401,9,24.95725,121.53931,38.6
31.6,175.91,5,24.98881,121.55617,54.8
1.2,600.2585,2,24.96741,121.53044,55.3
8.7,1715.5153,5,24.9634,121.51723,38.9
16.3,1446.775,3,24.97307,121.54275,37.5
3.0,141.9199,9,24.98218,121.54331,57.1
7.4,258.633,9,24.97316,121.53609,75.3
28.6,38.3161,9,24.98167,121.54802,60.0
