X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,X4 latitude,X5 longitude,Y6 house price of unit area
15.2,221.8892,1,24.97762,121.54465,41.3
28.1,108.037,8,24.98338,121.54501,55.0
0.5,1226.1685,5,24.9728,121.5162,56.6
2.8,578.2435,0,24.94194,121.53516,24.4
17.1,1722.3448,1,24.97254,121.51152,38.3
37.1,648.3306,6,24.96246,121.51458,20.1
0.0,745.7818,5,24.97704,121.5312,43.9
14.0,2141.4688,6,24.97241,121.51592,44.8
0.9,457.9193,4,24.96324,121.54253,49.7
29.0,332.2254,8,24.98105,121.54258,47.0
13.7,3127.06,7,24.96631,121.51583,31.4
31.5,1362.8033,6,24.967,121.5417,30.6
34.6,1365.6015,5,24.98665,121.504,39.0
0.0,431.9871,4,24.97349,121.53742,35.4
13.8,1775.1437,0,24.95141,121.53736,29.4
31.5,358.4873,5,24.97329,121.51716,40.1
20.8,372.9524,4,24.96737,121.538,48.5
4.0,1072.2019,3,24.97341,121.53556,23.1
14.8,2249.2105,7,24.98086,121.53336,47.3
16.6,1375.7705,7,24.96438,121.53659,27.6
5.6,408.9617,8,24.96211,121.55001,43.0
14.4,2330.6822,1,24.9482,121.51456,38.4
26.8,2253.5037,0,24.97341,121.504,29.3
5.0,229.2115,1,24.97674,121.54474,57.0
26.4,718.8373,9,24.97458,121.52944,40.4
17.5,394.6007,5,24.97707,121.53439,38.7
19.9,151.323,8,24.98979,121.54577,66.0
5.5,232.5483,6,24.978,121.55077,44.8
9.9,1544.0042,5,24.96561,121.51711,40.9
30.8,1356.7092,2,24.98044,121.54495,40.4
7.7,459.9869,5,24.97994,121.5386,50.8
15.7,602.8266,8,24.96913,121.5364,49.7
4.4,442.0713,1,24.96765,121.54055,48.0
2.7,623.2719,3,24.97327,121.54301,33.0
8.6,6327.4596,0,24.95587,121.53836,21.9
33.6,278.6628,4,24.97509,121.54768,39.5
12.3,785.2772,3,24.97046,121.51128,14.9
0.6,210.4935,3,24.97917,121.53956,49.2
27.4,1477.1449,2,24.97022,121.51227,27.3
21.4,147.1595,9,24.99428,121.54422,69.9
17.0,1411.1514,0,24.96028,121.53229,32.9
13.8,1040.1415,0,24.94997,121.54426,36.6
23.2,77.9185,9,24.99185,121.54389,54.0
33.8,340.1798,3,24.97225,121.52902,60.0
4.6,510.2131,4,24.94148,121.5428,38.1
2.6,121.4181,5,24.97234,121.55041,58.4
12.2,514.409,5,24.96773,121.54053,41.4
3.4,99.4006,9,24.95546,121.55766,54.1
12.9,585.3369,5,24.96775,121.53958,47.2
9.2,360.0122,4,24.97206,121.54562,35.8
13.4,1483.7698,0,24.95699,121.53582,25.5
12.4,203.8356,7,24.97567,121.54942,53.2
28.4,158.6787,6,24.97376,121.54876,35.7
16.2,938.3389,3,24.97459,121.5443,46.4
3.7,2004.8888,0,24.95353,121.53844,21.8
4.7,497.1243,5,24.96448,121.53754,34.2
15.5,1918.0272,1,24.94977,121.53021,32.8
13.7,316.6588,3,24.97179,121.53185,49.9
13.9,1331.4795,0,24.97223,121.53495,22.1
4.5,430.0949,4,24.96561,121.53532,38.4
34.2,257.0951,6,24.97945,121.54072,33.9
16.1,490.7632,6,24.96663,121.54009,40.6
30.4,96.8595,9,24.97209,121.55725,40.2
11.8,73.3262,9,24.98055,121.54577,117.5
16.3,931.0646,0,24.97416,121.53397,17.7
17.8,2109.7964,0,24.98007,121.504,20.5
